czech,english,grammar_id
schopnost,ability,
cent,cent,
význam,meaning,
dětské hřiště,playground,
sebe,ourselves,
hravý,playful,
realizovat,realise,
psycholog,psychologist,
chybějící,missing,
činidlo,agent,
divit se,wonder,
balkón,balcony,
nedůležité,unimportant,
učebnice,textbook,
textovou zprávu,text message,
nezapomenutelný,unforgettable,
planeta,planet,
v,within,
trouba,oven,
nešťastný,unhappy,
vyděsit,terrify,
dřevěný,wooden,
nad,over,
jednotný,uniform,
nabízet,offer,
vlna,wool,
minerální voda,mineral water,
přání,wish,
ve věku,aged,
nezdravý,unhealthy,
jejich,theirs,
olivový olej,olive oil,
moc,might,
vyslovit,pronounce,
soucit,pity,
atraktivní,attractive,
spravedlivý,fair,
nespravedlivé,unfair,
polední,midday,
výslovnost,pronunciation
"Muž, který tu bydlí, je můj soused.","The man who lives here is my neighbor.",68
"Kniha, kterou jsem četl včera, byla zajímavá.","The book that I read yesterday was interesting.",68
"Dívka, která přijde zítra, je moje sestřenice.","The girl who will come tomorrow is my cousin.",68
"Auto, které bylo opraveno, je venku.","The car which has been repaired is outside.",68
"Lidé, kteří čekali na autobus, odešli brzy.","The people who were waiting for the bus left early.",68
"Pes, kterého jsme našli, patří sousedovi.","The dog that we found belongs to the neighbor.",68
"Město, kde jsem se narodil, je daleko odsud.","The city where I was born is far from here.",68
"Učitel, kterého jsem potkal minulý týden, učí angličtinu.","The teacher whom I met last week teaches English.",68
