czech,english,
nástroj,instrument,
stroj,machine,
noviny,newspaper,
balík,parcel,
náboženství,religion,
opravit,repair,
sloužit,serve,
rameno,shoulder,
cesta,trip,
zeď,wall,
přijít,arrive,
narozen,born,
oblečení,clothes,
správný,correct,
dvojitý,double,
zapomenout,forget,
cíl,goal,
nenávidět,hate,
zabít,kill,
poslední,last,
hlavní,main,
pár,pair,
slib,promise,
pravidelný,regular,
někde,somewhere,
prostor,space,
užitečný,useful,
bez,without,
zvíře,animal,
pivo,beer,
klidný,calm,
kopírovat,copy,
jídlo,dish,
vyjádřit,express,
cizí,foreign,
hádat,guess,
manžel,husband,
lhát,lie,
můj,mine
názor,opinion,
Nepracuji.,I'm not working.,24
Nečteš knihu.,You aren't reading a book.,24
Nepíše dopis. (on),He isn't writing a letter.,24
Nezpívá. (ona),She isn't singing.,24
Nespí. (ono),It isn't sleeping.,24
Neučíme se.,We aren't studying.,24
Neposloucháte hudbu.,You aren't listening to music.,24
Nehrají fotbal.,They aren't playing football.,24
