czech,english,block_id,grammar_chunk_id
zničit,ruin,,
zhruba,roughly,,
upřímný,honest,,
nečestný,dishonest,,
diskuse,discussion,,
význam,importance,,
lavice,bench,,
důležité,importantly,,
královský,royal,,
žasnout,marvel,,
úžasné,marvellous,,
zapůsobit,impress,,
disko,disco,,
sportovní centrum,sports centre,,
kolotoč,roundabout,,
ragby,rugby,,
lék,drug,,
lékárna,drugstore,,
snowboard,snowboard,,
snowboarding,snowboarding,,
energický,energetic,,
školní práce,schoolwork,,
konec,ending,,
ohrozit,endanger,,
Pracuji už dlouho?,Have I been working long?,72,69
Čteš od rána?,Have you been reading since morning?,72,69
Čeká celý den?,Has he been waiting all day?,72,69
Běhá každé ráno?,Has she been running every morning?,72,69
Prší od včerejška?,Has it been raining since yesterday?,72,69
Učíme se celý večer?,Have we been studying all evening?,72,69
Cestujete celý týden?,Have you been travelling all week?,72,69
Hrají od oběda?,Have they been playing since lunch?,72,69
Pracuji na tom už příliš dlouho?,Have I been working on it for too long?,,69
Čteš od rána stejnou knihu?,Have you been reading the same book since morning?,,69
Čeká on na nás celý den?,Has he been waiting for us all day?,,69
Běhá ona tento týden každé ráno?,Has she been running every morning this week?,,69
Prší od začátku zápasu?,Has it been raining since the match started?,,69
Učíme se na zkoušku celý večer?,Have we been studying for the exam all evening?,,69
Cestujete po Evropě celý měsíc?,Have you been travelling around Europe for a month?,,69
Hrají oni spolu od oběda?,Have they been playing together since lunch?,,69
