czech,english,block_id,grammar_chunk_id
obchodní dům,department store,,
začátečník,beginner,,
želé,jelly,,
džem,jam,,
znamenat,signify,,
významný,significant,,
úspěšně,successfully,,
ztracený,lost,,
úděl,lot,,
hlasitý,loud,,
hlasitě,loudly,,
polykat,swallow,,
vodítko,clue,,
klaun,clown,,
potit,sweat,,
kabina,cab,,
výhodná dohoda,bargain,,
naštěstí,luckily,,
pravidelně,regularly,,
ulička,aisle,,
cvaknutí,click,,
milý,sweet,,
miláček,sweetheart,,
úředník,clerk,,

já jsem nepracoval,I didn't work,57,47
ty ses nedíval,you didn't watch,57,47
on neuklízel,he didn't clean,57,47
ona neotevřela,she didn't open,57,47
ono nezačalo,it didn't start,57,47
my jsme nehráli,we didn't play,57,47
vy jste nepomohli,you didn't help,57,47
oni nenavštívili,they didn't visit,57,47

Já jsem nešel do práce.,I didn't go to work.,,47
Nedíval ses na ten film.,You didn't watch the film.,,47
On si nekoupil lístek.,He didn't buy a ticket.,,47
Ona nenapsala odpověď.,She didn't write a reply.,,47
Počítač se nespustil.,Computer didn't start.,,47
My jsme nejeli pryč.,We didn't go away.,,47
Vy jste nám nepomohli.,You didn't help us.,,47
Oni nenavštívili své rodiče.,They didn't visit their parents.,,47
