czech,english,block_id,grammar_chunk_id
diamant,diamond,,
hlubina,deep,,
socha,statue,,
rozprava,debate,,
brouk,bug,,
odejít do důchodu,retire,,
v důchodu,retired,,
dohoda,deal,,
rytmus,rhythm,,
denní světlo,daylight,,
ocenit,appreciate,,
místo toho,instead,,
jmenovat (do funkce),appoint,,
jmenování,appointment,,
okamžitý,instant,,
žaludek,stomach,,
bolest břicha,stomachache,,
bytost,being,,
vymyslet,invent,,
vynález,invention,,
návrat,return,,
hluboce,deeply,,
ukrást,steal,,
vykročit,step,,
Byl jsem připravený?,Was I ready?,54,44
Byl jsi unavený?,Were you tired?,54,44
Byl doma?,Was he at home?,54,44
Byla šťastná?,Was she happy?,54,44
Byla zima?,Was it cold?,54,44
Byli jsme hluční?,Were we noisy?,54,44
Byli jste zaneprázdnění?,Were you busy?,54,44
Byli venku?,Were they outside?,54,44
Byl jsem připravený na včerejší zkoušku?,Was I ready for yesterday's exam?,,44
Byl jsi po cestě unavený?,Were you tired after the journey?,,44
Byl on včera doma?,Was he at home yesterday?,,44
Byla ona šťastná s novou prací?,Was she happy with the new job?,,44
Byla venku opravdu zima?,Was it really cold outside?,,44
Přišli jsme na schůzku pozdě?,Were we late for the meeting?,,44
Byli jste tehdy příliš zaneprázdnění?,Were you too busy then?,,44
Byli oni stále venku?,Were they still outside?,,44
