czech,english,block_id,grammar_chunk_id
scenérie,scenery,,
software,software,,
scéna,scene,,
elektrický,electric,,
sebe,herself,,
starší,elderly,,
Hej,hey,,
účet,bill,,
někdo,somebody,,
střední škola,high school,,
vzdělávat,educate,,
školství,education,,
vzdělávací,educational,,
řešení,solution,,
upravit,edit,,
editor,editor,,
redakční,editorial,,
dálnice,highway,,
trampovat,hike,,
turistika,hiking,,
sám,himself,,
odrážet,reflect,,
nájemné,rent,,
rám,frame,,

"Já už jsem odešel, když zavolala?",Had I already left when she called?,81,71
"Ty jsi skončil, než začalo pršet?",Had you finished before it started raining?,81,71
"On už jedl, když jsme dorazili?",Had he eaten by the time we arrived?,81,71
Ona přijela před začátkem schůzky?,Had she arrived before the meeting started?,81,71
"To se rozbilo, než jsme to zkontrolovali?",Had it broken before we checked it?,81,71
"My jsme už zapomněli heslo, když jsme ho potřebovali?",Had we already forgotten the password when we needed it?,81,71
Vy jste ten film viděli před naším setkáním?,Had you seen the movie before our meeting?,81,71
"Oni už odešli, když jsme dorazili?",Had they already left when we arrived?,81,71
