czech,english,grammar_id
křivdit,wrong,
kazeta,cassette,
útočit,attack,
cíl,target,
hrad,castle,
naštvaný,upset,
páska,tape,
možná,possibly,
zmínka,mention,
v zahraničí,abroad,
menu,menu,
dostávat,receive,
nedávné,recent,
jednotka,unit,
dospívající,teenager,
omeleta,omelette,
použitý,used,
recepce,reception,
recepční,receptionist,
napřed,ahead,
metoda,method,
klepnout,tap,
metr,metre,
strachovat se,worry,
ustaraný,worried,
příjemný,pleasing,
správné,proper,
roztrhnout,tear,
horší,worse,
nejhorší,worst,
neznámý,unknown,
publikum,audience,
potěšen,pleased,
lékařský,medical,
medaile,medal,
organizovat,organise,
organizovaný,organised,
cereálie,cereal,
mládí,youth,
parkoviště,car park,
"Kde budeš zítra v 8 pracovat?","Where will you be working at 8 tomorrow?",61
"Co budeš dělat večer?","What will you be doing in the evening?",61
"Kdo bude čekat na autobus?","Who will be waiting for the bus?",61
"Kdy budou hrát fotbal?","When will they be playing football?",61
"Proč budeš používat počítač?","Why will you be using the computer?",61
"Jak dlouho budeš spát?","How long will you be sleeping?",61
"S kým budeš studovat angličtinu?","Who will you be studying English with?",61
"Kdo bude vařit večeři?","Who will be cooking dinner?",61
