czech,english,block_id,grammar_chunk_id
scenérie,scenery,,
software,software,,
scéna,scene,,
elektrický,electric,,
sebe,herself,,
starší,elderly,,
Hej,hey,,
účet,bill,,
někdo,somebody,,
střední škola,high school,,
vzdělávat,educate,,
školství,education,,
vzdělávací,educational,,
řešení,solution,,
upravit,edit,,
editor,editor,,
redakční,editorial,,
dálnice,highway,,
trampovat,hike,,
turistika,hiking,,
sám,himself,,
odrážet,reflect,,
nájemné,rent,,
rám,frame,,
Odešel jsem už?,Had I left already?,76,73
Skončil jsi?,Had you finished?,76,73
Jedl?,Had he eaten?,76,73
Přijela?,Had she arrived?,76,73
Rozbilo se?,Had it broken?,76,73
Zapomněli jsme?,Had we forgotten?,76,73
Viděli jste to?,Had you seen it?,76,73
Odešli?,Had they gone?,76,73
Odešel jsem už před tvým příchodem?,Had I left before you arrived?,,73
Skončil jsi práci před obědem?,Had you finished the work before lunch?,,73
Jedl on před cestou?,Had he eaten before the journey?,,73
Přijela ona před začátkem koncertu?,Had she arrived before the concert started?,,73
Rozbilo se před dovolenou?,Had it broken down before the holiday?,,73
Zapomněli jsme něco důležitého?,Had we forgotten anything important?,,73
Viděli jste ten dům předtím?,Had you seen that house before?,,73
Odešli oni před koncem filmu?,Had they gone before the end of the film?,,73
