czech,english,block_id,grammar_chunk_id
zóna,zone,,
výzva,challenge,,
šampaňské,champagne,,
bankovnictví,banking,,
mistr,champion,,
mistrovství,championship,,
velké písmeno,capital letter,,
kapitál,capital,,
odkazovat,refer,,
objednat,order,,
portrét,portrait,,
populace,population,,
kapitola,chapter,,
příjem,receipt,,
znečišťovat,pollute,,
max,max,,
plechovka,can,,
recyklovat,recycle,,
zbytečné,unnecessary,,
jo,yeah,,
nepříjemný,unpleasant,,
provozovat,operate,,
policejní důstojník,police officer,,
policejní stanici,police station,,
"Jsem pozdě, že ano?","I'm late, aren't I?",89,87
"Jsi připravený, že ano?","You're ready, aren't you?",89,87
"On přichází, že ano?","He's coming, isn't he?",89,87
"Ona skončila, že ano?","She's finished, hasn't she?",89,87
"Je zima, že ano?","It's cold, isn't it?",89,87
"Jsme brzy, že ano?","We're early, aren't we?",89,87
"Jste unavení, že ano?","You're tired, aren't you?",89,87
"Jsou tady, že ano?","They're here, aren't they?",89,87
"Přijdu zítra, že ano?","I'm coming tomorrow, aren't I?",,87
"Přijdeš zítra, že ano?","You're coming tomorrow, aren't you?",,87
"On nepracuje v sobotu, že ne?","He doesn't work on Saturday, does he?",,87
"Ona už odešla, že ano?","She's already left, hasn't she?",,87
"To nebylo snadné, že ne?","That wasn't easy, was it?",,87
"Počkáme tady, že ano?","We'll wait here, won't we?",,87
"Můžete nám pomoct, že ano?","You can help us, can't you?",,87
"Oni přijedou včas, že ano?","They'll arrive on time, won't they?",,87
