czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
plastový,plastic,plˈæstɪk,plastic.opus,104000,,,,,True,104
zasadit,plant,plˈænt,plant.opus,104001,,,,,True,104
oděv,garment,ɡˈɑːɹmənt,garment.opus,104002,,,,,True,104
hrnčířství,pottery,pˈɑːɾɚɹi,pottery.opus,104003,,,,,True,104
usadit,settle,sˈɛɾəl,settle.opus,104004,,,,,True,104
osadník,settler,sˈɛtlɚ,settler.opus,104005,,,,,True,104
vyrovnání,settlement,sˈɛɾəlmənt,settlement.opus,104006,,,,,True,104
plánovat,plan,plˈæn,plan.opus,104007,,,,,True,104
nastavení,setting,sˈɛɾɪŋ,setting.opus,104008,,,,,True,104
chudoba,poverty,pˈɑːvɚɾi,poverty.opus,104009,,,,,True,104
prášek,powder,pˈaʊdɚ,powder.opus,104010,,,,,True,104
trubka,pipe,pˈaɪp,pipe.opus,104011,,,,,True,104
zbožnost,piety,pˈaɪəɾi,piety.opus,104012,,,,,True,104
praktický,practical,pɹˈæktɪkəl,practical.opus,104013,,,,,True,104
koláč,pie,pˈaɪ,pie.opus,104014,,,,,True,104
zatčení,arrest,ɚɹˈɛst,arrest.opus,104015,,,,,True,104
klouzat,glide,ɡlˈaɪd,glide.opus,104016,,,,,True,104
aspirin,aspirin,ˈæspɹɪn,aspirin.opus,104017,,,,,True,104
zatknout,arrest,ɚɹˈɛst,arrest.opus,104018,,,,,True,104
chvála,praise,pɹˈeɪz,praise.opus,104019,,,,,True,104
záblesk,glimpse,ɡlˈɪmps,glimpse.opus,104020,,,,,True,104
záblesk,glint,ɡlˈɪnt,glint.opus,104021,,,,,True,104
výběr,pick,pˈɪk,pick.opus,104022,,,,,True,104
fyzika,physics,fˈɪzɪks,physics.opus,104023,,,,,True,104
globální,global,ɡlˈoʊbəl,global.opus,104024,,,,,True,104
uspořádání,arrangement,ɚɹˈeɪndʒmənt,arrangement.opus,104025,,,,,True,104
pohlédnout,glance,ɡlˈæns,glance.opus,104026,,,,,True,104
pohled,glance,ɡlˈæns,glance.opus,104027,,,,,True,104
oddělit,separate,sˈɛpɹət,separate.opus,104028,,,,,True,104
oddělení,separation,sˌɛpɚɹˈeɪʃən,separation.opus,104029,,,,,True,104
polštář,pillow,pˈɪloʊ,pillow.opus,104030,,,,,True,104
borovice,pine,pˈaɪn,pine.opus,104031,,,,,True,104
