czech,english,block_id,grammar_chunk_id
eskalátor,escalator,,
bavit,amuse,,
pobavení,amusement,,
chyba,error,,
výkřik,scream,,
pobavený,amused,,
hladce,smoothly,,
epizoda,episode,,
snack,snack,,
závist,envy,,
šťastně,happily,,
sněžení,snow,,
štěstí,happiness,,
kousat,bite,,
bit,bit,,
vjezd,entrance,,
sotva,hardly,,
újma,harm,,
škodlivý,harmful,,
bavit,entertain,,
zábava,entertainment,,
harmonie,harmony,,
sklidit,harvest,,
obálka,envelope,,

"Už jsem odešel, když zavolala.",I'd already left when she called.,79,69
"Ty jsi skončil dřív, než začalo pršet.",You'd finished before it started raining.,79,69
"On už jedl, když jsme dorazili.",He'd already eaten when we arrived.,79,69
"Ona už přijela, když jsme zavolali.",She'd already arrived when we called.,79,69
"To se rozbilo, než jsme to našli.",It had broken before we found it.,79,69
"My jsme zapomněli heslo, než jsme se přihlásili.",We'd forgotten the password before we logged in.,79,69
"Vy jste ten film viděli před naší schůzkou.",You'd seen the movie before our meeting.,79,69
"Oni odešli, než jsme dorazili.",They'd left before we arrived.,79,69
