czech,english,grammar_id
usadit,settle,
osadník,settler,
vyrovnání,settlement,
plánovat,plan,
gay,gay,
nastavení,setting,
chudoba,poverty,
prášek,powder,
trubka,pipe,
aspekt,aspect,
zbožnost,piety,
praktický,practical,
koláč,pie,
zatčení,arrest,
klouzat,glide,
aspirin,aspirin,
zatknout,arrest,
chvála,praise,
záblesk,glimpse,
záblesk,glint,
výběr,pick,
fyzika,physics,
globální,global,
uspořádání,arrangement,
pohlédnout,glance,
pohled,glance,
oddělit,separate,
oddělení,separation,
polštář,pillow,
borovice,pine,
šiška,pine,
ananas,pineapple,
vážné,serious,
zeměpis,geography,
zeměpisné,geographical,
geologie,geology,
gesto,gesture,
mezera,gap,
připíchnout,pin,
obří,giant,
"Dům bude postaven příští rok.","The house will be built next year.",66
"Dopis bude odeslán zítra.","The letter will be sent tomorrow.",66
"Auto bude opraveno do pátku.","The car will be repaired by Friday.",66
"Obraz bude vystaven v galerii.","The painting will be exhibited in the gallery.",66
"Jídlo bude připraveno za hodinu.","The food will be prepared in an hour.",66
"Okno bude vyměněno brzy.","The window will be replaced soon.",66
"Test bude napsán příští týden.","The test will be written next week.",66
"Kniha bude přeložena do angličtiny.","The book will be translated into English.",66
