czech,english,block_id,grammar_chunk_id
turné,tour,,
průvodce,tour guide,,
hudební,musical,,
pomáhat,assist,,
asistent,assistant,,
ubrousek,napkin,,
malíř,painter,,
dvakrát,twice,,
tlak,pressure,,
kvíz,quiz,,
nutné,necessary,,
téměř,nearly,,
panika,panic,,
hrozné,awful,,
pro,pro,,
argumentovat,argue,,
normální,normal,,
pánev,pan,,
přírodní,natural,,
rodák,native,,
hruška,pear,,
sever,north,,
sportovec,athlete,,
trénovat,train,,
já jsem byl pozván,I've been invited,85,82
ty jsi byl vybrán,you've been chosen,85,82
on byl povýšen,he's been promoted,85,82
ona byla informována,she's been informed,85,82
ono bylo opraveno,it's been repaired,85,82
my jsme byli požádáni,we've been asked,85,82
vy jste byli obslouženi,you've been served,85,82
oni byli zaplaceni,they've been paid,85,82
Byl jsem pozván na večírek.,I've been invited to the party.,,82
Byl jsi vybrán do finále.,You've been chosen for the final.,,82
On byl povýšen na vedoucího.,He's been promoted to manager.,,82
Ona byla o změně informována.,She's been informed about the change.,,82
Telefon byl konečně opraven.,It's finally been repaired.,,82
Byli jsme požádáni o podpis.,We've been asked to sign.,,82
Už jste byli obslouženi.,You've already been served.,,82
Dostali zaplaceno za svou práci.,They've been paid for their work.,,82
