czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
životopis,biography,baɪˈɑːɡɹəfi,biography.opus,104000,,,,,True,104
sluch,hearing,hˈɪɹɪŋ,hearing.opus,104001,,,,,True,104
příloha,attachment,ɐtˈætʃmənt,attachment.opus,104002,,,,,True,104
psanec,outlaw,ˈaʊtlɔː,outlaw.opus,104003,,,,,True,104
podšálek,saucer,sˈɔːsɚ,saucer.opus,104004,,,,,True,104
balení,packing,pˈækɪŋ,packing.opus,104005,,,,,True,104
atomový,atomic,ɐtˈɑːmɪk,atomic.opus,104006,,,,,True,104
načrtnout,outline,ˈaʊtlaɪn,outline.opus,104007,,,,,True,104
pokračovat,proceed,pɹəsˈiːd,proceed.opus,104008,,,,,True,104
biologie,biology,baɪˈɑːlədʒi,biology.opus,104009,,,,,True,104
neaktuální,out-of-date,ˌaʊɾəvdˈeɪt,outofdate.opus,104010,,,,,True,104
povýšit,promote,pɹəmˈoʊt,promote.opus,104011,,,,,True,104
povýšení,promotion,pɹəmˈoʊʃən,promotion.opus,104012,,,,,True,104
bezmocný,helpless,hˈɛlpləs,helpless.opus,104013,,,,,True,104
čestně,honestly,ˈɑːnɪstli,honestly.opus,104014,,,,,True,104
výrobce,producer,pɹədˈuːsɚ,producer.opus,104015,,,,,True,104
poctivost,honesty,ˈɑːnɪsti,honesty.opus,104016,,,,,True,104
prokrastinace,procrastination,pɹoʊkɹˌæstᵻnˈeɪʃən,procrastination.opus,104017,,,,,True,104
majetek,property,pɹˈɑːpɚɾi,property.opus,104018,,,,,True,104
vydatný,hearty,hˈɑːɹɾi,hearty.opus,104019,,,,,True,104
balík,package,pˈækɪdʒ,package.opus,104020,,,,,True,104
biochemie,biochemistry,bˌaɪoʊkˈɛmɪstɹi,biochemistry.opus,104021,,,,,True,104
nicméně,anyhow,ˈɛnɪhˌaʊ,anyhow.opus,104022,,,,,True,104
nebe,heaven,hˈɛvən,heaven.opus,104023,,,,,True,104
