czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
Já nečtu noviny.,I don't read newspapers.,aɪ dˈoʊnt ɹˈiːd nˈuːzpeɪpɚz,i_dont_read_newspapers.opus,19100,,,,27,False,19
Ty neřídíš do práce.,You don't drive to work.,juː dˈoʊnt dɹˈaɪv tə wˈɜːk,you_dont_drive_to_work.opus,19101,,,,27,False,19
On se neučí francouzsky.,He doesn't study French.,hiː dˈʌzənt stˈʌdi fɹˈɛntʃ,he_doesnt_study_french.opus,19102,,,,27,False,19
Ona často nenavštěvuje své prarodiče.,She doesn't visit often her grandparents.,ʃiː dˈʌzənt vˈɪzɪt ˈɔfən hɜː ɡɹˈændpɛɹənts,she_doesnt_visit_often_her_grandparents.opus,19103,,,,27,False,19
V létě nesněží.,It doesn't snow in summer.,ɪt dˈʌzənt snˈoʊ ɪn sˈʌmɚ,it_doesnt_snow_in_summer.opus,19104,,,,27,False,19
My nepotřebujeme auto.,We don't need a car.,wiː dˈoʊnt nˈiːd ɐ kˈɑːɹ,we_dont_need_a_car.opus,19105,,,,27,False,19
Vy doma nemluvíte španělsky.,You don't speak Spanish at home.,juː dˈoʊnt spˈiːk spˈænɪʃ æt hˈoʊm,you_dont_speak_spanish_at_home.opus,19106,,,,27,False,19
Oni v pátek nechodí do posilovny.,They don't go to the gym on Fridays.,ðeɪ dˈoʊnt ɡˌoʊ tə ðə dʒˈɪm ˌɔn fɹˈaɪdeɪz,they_dont_go_to_the_gym_on_fridays.opus,19107,,,,27,False,19
Co já kupuji?,What do I buy?,wˌʌt dˈuː aɪ bˈaɪ,what_do_i_buy.opus,21100,,,,30,False,21
Kde ty studuješ?,Where do you study?,wˌɛɹ dˈuː juː stˈʌdi,where_do_you_study.opus,21101,,,,30,False,21
Jak často on běhá?,How often does he run?,hˌaʊ ˈɔfən dˈʌz hiː ɹˈʌn,how_often_does_he_run.opus,21102,,,,30,False,21
Kdy ona vstává?,When does she get up?,wˌɛn dˈʌz ʃiː ɡɛt ˈʌp,when_does_she_get_up.opus,21103,,,,30,False,21
Proč to začíná?,Why does it start?,wˌaɪ dˈʌz ɪt stˈɑːɹt,why_does_it_start.opus,21104,,,,30,False,21
Kam my chodíme po práci?,Where do we go after work?,wˌɛɹ dˈuː wiː ɡˌoʊ ˈæftɚ wˈɜːk,where_do_we_go_after_work.opus,21105,,,,30,False,21
Jakými jazyky vy mluvíte?,What languages do you speak?,wˌʌt lˈæŋɡwɪdʒᵻz dˈuː juː spˈiːk,what_languages_do_you_speak.opus,21106,,,,30,False,21
Kdy oni přijíždějí?,When do they arrive?,wˌɛn dˈuː ðeɪ ɚɹˈaɪv,when_do_they_arrive.opus,21107,,,,30,False,21
Já mohu počkat.,I can wait.,aɪ kæn wˈeɪt,i_can_wait.opus,24100,,,,34,False,24
Umíš lyžovat?,Can you ski?,kæn juː skˈiː,can_you_ski.opus,24101,,,,34,False,24
On umí opravit kolo.,He can fix a bike.,hiː kæn fˈɪks ɐ bˈaɪk,he_can_fix_a_bike.opus,24102,,,,34,False,24
Ona umí zpívat?,Can she sing?,kæn ʃiː sˈɪŋ,can_she_sing.opus,24103,,,,34,False,24
Nemůže to být pravda.,It can't be true.,ɪt kˈænt biː tɹˈuː,it_cant_be_true.opus,24104,,,,34,False,24
Oni neumějí tančit.,They can't dance.,ðeɪ kˈænt dˈæns,they_cant_dance.opus,24105,,,,34,False,24
Ty bys mohl zavolat později.,You could call later.,juː kʊd kˈɔːl lˈeɪɾɚ,you_could_call_later.opus,24106,,,,34,False,24
Mohl by on zůstat déle?,Could he stay longer?,kʊd hiː stˈeɪ lˈɔŋɡɚ,could_he_stay_longer.opus,24107,,,,34,False,24
On možná zůstane doma.,He may stay at home.,hiː mˈeɪ stˈeɪ æt hˈoʊm,he_may_stay_at_home.opus,24108,,,,34,False,24
Smí ona použít můj telefon?,May she use my phone?,mˈeɪ ʃiː jˈuːs maɪ fˈoʊn,may_she_use_my_phone.opus,24109,,,,34,False,24
Možná bude pršet.,It may rain.,ɪt mˈeɪ ɹˈeɪn,it_may_rain.opus,24110,,,,34,False,24
Smíme otevřít okno?,May we open the window?,mˈeɪ wiː ˈoʊpən ðə wˈɪndoʊ,may_we_open_the_window.opus,24111,,,,34,False,24
Ona možná zapomene.,She might forget.,ʃiː mˌaɪt fɚɡˈɛt,she_might_forget.opus,24112,,,,34,False,24
Mohlo by to trvat déle?,Might it take longer?,mˌaɪt ɪt tˈeɪk lˈɔŋɡɚ,might_it_take_longer.opus,24113,,,,34,False,24
To musí být omyl.,It must be a mistake.,ɪt mˈʌst biː ɐ mɪstˈeɪk,it_must_be_a_mistake.opus,24114,,,,34,False,24
Musíme to udělat dnes?,Must we do it today?,mˈʌst wiː dˈuː ɪt tədˈeɪ,must_we_do_it_today.opus,24115,,,,34,False,24
Ty tady nesmíš parkovat.,You mustn't park here.,juː mˈʌsənt pˈɑːɹk hˈɪɹ,you_mustnt_park_here.opus,24116,,,,34,False,24
Ona nesmí vstoupit.,She mustn't enter.,ʃiː mˈʌsənt ˈɛntɚ,she_mustnt_enter.opus,24117,,,,34,False,24
Měl bych cestovat.,I should travel.,aɪ ʃˌʊd tɹˈævəl,i_should_travel.opus,24118,,,,34,False,24
Měl bys zavolat rodičům?,Should you call your parents?,ʃˌʊd juː kˈɔːl jʊɹ pˈɛɹənts,should_you_call_your_parents.opus,24119,,,,34,False,24
Nemělo by to trvat dlouho.,It shouldn't take long.,ɪt ʃˌʊdənt tˈeɪk lˈɔŋ,it_shouldnt_take_long.opus,24120,,,,34,False,24
Měli bychom počkat?,Should we wait?,ʃˌʊd wiː wˈeɪt,should_we_wait.opus,24121,,,,34,False,24
Ty bys počkal.,You would wait.,juː wʊd wˈeɪt,you_would_wait.opus,24122,,,,34,False,24
Pomohl bys mi?,Would you help me?,wʊd juː hˈɛlp mˌiː,would_you_help_me.opus,24123,,,,34,False,24
Já bych neutekl.,I wouldn't run away.,aɪ wˈʊdənt ɹˈʌn ɐwˈeɪ,i_wouldnt_run_away.opus,24124,,,,34,False,24
Odešel bys?,Would you leave?,wʊd juː lˈiːv,would_you_leave.opus,24125,,,,34,False,24
Já poslouchám hudbu.,I'm listening to music.,aɪm lˈɪsənɪŋ tə mjˈuːzɪk,im_listening_to_music.opus,26100,,,,38,False,26
Ty uklízíš pokoj.,You're cleaning your room.,jʊɹ klˈiːnɪŋ jʊɹ ɹˈuːm,youre_cleaning_your_room.opus,26101,,,,38,False,26
On opravuje kolo.,He's fixing a bike.,hiːz fˈɪksɪŋ ɐ bˈaɪk,hes_fixing_a_bike.opus,26102,,,,38,False,26
Ona mluví po telefonu.,She's talking on the phone.,ʃiːz tˈɔːkɪŋ ɔnðə fˈoʊn,shes_talking_on_the_phone.opus,26103,,,,38,False,26
Venku sněží.,It's snowing outside.,ɪts snˈoʊɪŋ aʊtsˈaɪd,its_snowing_outside.opus,26104,,,,38,False,26
My plánujeme výlet.,We're planning a trip.,wɪɹ plˈænɪŋ ɐ tɹˈɪp,were_planning_a_trip.opus,26105,,,,38,False,26
Vy pracujete na projektu.,You're working on a project.,jʊɹ wˈɜːkɪŋ ˌɔn ɐ pɹˈɑːdʒɛkt,youre_working_on_a_project.opus,26106,,,,38,False,26
Oni tančí v obýváku.,They're dancing in the living room.,ðeɪɚ dˈænsɪŋ ɪnðə lˈɪvɪŋ ɹˈuːm,theyre_dancing_in_the_living_room.opus,26107,,,,38,False,26
Já teď nečtu.,I'm not reading now.,aɪm nˌɑːt ɹˈiːdɪŋ nˈaʊ,im_not_reading_now.opus,27100,,,,39,False,27
Ty se nedíváš na televizi.,You aren't watching TV.,juː ˌɑːɹnt wˈɑːtʃɪŋ tˌiːvˈiː,you_arent_watching_tv.opus,27101,,,,39,False,27
On dnes nevaří.,He isn't cooking today.,hiː ˌɪzənt kˈʊkɪŋ tədˈeɪ,he_isnt_cooking_today.opus,27102,,,,39,False,27
Ona teď nepíše zprávu.,She isn't writing a message right now.,ʃiː ˌɪzənt ɹˈaɪɾɪŋ ɐ mˈɛsɪdʒ ɹˈaɪt nˈaʊ,she_isnt_writing_a_message_right_now.opus,27103,,,,39,False,27
Venku nesněží.,It isn't snowing outside.,ɪɾ ˌɪzənt snˈoʊɪŋ aʊtsˈaɪd,it_isnt_snowing_outside.opus,27104,,,,39,False,27
My nehledáme hotel.,We aren't looking for a hotel.,wiː ˌɑːɹnt lˈʊkɪŋ fɚɹə hoʊtˈɛl,we_arent_looking_for_a_hotel.opus,27105,,,,39,False,27
Vy neposíláte e-mail.,You aren't sending an email.,juː ˌɑːɹnt sˈɛndɪŋ ɐn ˈiːmeɪl,you_arent_sending_an_email.opus,27106,,,,39,False,27
Dnes večer oni neodpočívají.,They aren't relaxing tonight.,ðeɪ ˌɑːɹnt ɹᵻlˈæksɪŋ tənˈaɪt,they_arent_relaxing_tonight.opus,27107,,,,39,False,27
Poslouchám správnou nahrávku?,Am I listening to the right recording?,æm aɪ lˈɪsənɪŋ tə ðə ɹˈaɪt ɹᵻkˈɔːɹdɪŋ,am_i_listening_to_the_right_recording.opus,28100,,,,40,False,28
Čteš ten nový článek?,Are you reading the new article?,ɑːɹ juː ɹˈiːdɪŋ ðə nˈuː ˈɑːɹɾɪkəl,are_you_reading_the_new_article.opus,28101,,,,40,False,28
Opravuje on počítač?,Is he fixing the computer?,ɪz hiː fˈɪksɪŋ ðə kəmpjˈuːɾɚ,is_he_fixing_the_computer.opus,28102,,,,40,False,28
Telefonuje ona své matce?,Is she calling her mother?,ɪz ʃiː kˈɔːlɪŋ hɜː mˈʌðɚ,is_she_calling_her_mother.opus,28103,,,,40,False,28
Sněží tam právě teď?,Is it snowing there right now?,ɪz ɪt snˈoʊɪŋ ðɛɹ ɹˈaɪt nˈaʊ,is_it_snowing_there_right_now.opus,28104,,,,40,False,28
Hledáme my správnou adresu?,Are we looking for the right address?,ɑːɹ wiː lˈʊkɪŋ fɚðə ɹˈaɪt ɐdɹˈɛs,are_we_looking_for_the_right_address.opus,28105,,,,40,False,28
Pracujete vy na novém projektu?,Are you working on a new project?,ɑːɹ juː wˈɜːkɪŋ ˌɔn ɐ nˈuː pɹˈɑːdʒɛkt,are_you_working_on_a_new_project.opus,28106,,,,40,False,28
Přijíždějí oni právě teď?,Are they arriving now?,ɑːɹ ðeɪ ɚɹˈaɪvɪŋ nˈaʊ,are_they_arriving_now.opus,28107,,,,40,False,28
Co já poslouchám?,What am I listening to?,wˌʌt æm aɪ lˈɪsənɪŋ tuː,what_am_i_listening_to.opus,29100,,,,41,False,29
Co ty právě čteš?,What are you reading right now?,wˌʌt ɑːɹ juː ɹˈiːdɪŋ ɹˈaɪt nˈaʊ,what_are_you_reading_right_now.opus,29101,,,,41,False,29
S kým on mluví?,Who is he talking to?,hˌuː ɪz hiː tˈɔːkɪŋ tuː,who_is_he_talking_to.opus,29102,,,,41,False,29
Proč se ona směje?,Why is she laughing?,wˌaɪ ɪz ʃiː lˈæfɪŋ,why_is_she_laughing.opus,29103,,,,41,False,29
Co to dělá?,What is it doing?,wˌʌt ɪz ɪt dˈuːɪŋ,what_is_it_doing.opus,29104,,,,41,False,29
Co my vaříme?,What are we cooking?,wˌʌt ɑːɹ wiː kˈʊkɪŋ,what_are_we_cooking.opus,29105,,,,41,False,29
Na koho vy čekáte?,Who are you waiting for?,hˌuː ɑːɹ juː wˈeɪɾɪŋ fɔːɹ,who_are_you_waiting_for.opus,29106,,,,41,False,29
Co oni nesou?,What are they carrying?,wˌʌt ɑːɹ ðeɪ kˈæɹiɪŋ,what_are_they_carrying.opus,29107,,,,41,False,29
Já jsem byl dnes ráno doma.,I was at home this morning.,aɪ wʌz æt hˈoʊm ðɪs mˈɔːɹnɪŋ,i_was_at_home_this_morning.opus,30100,,,,42,False,30
Ty jsi včera byl ve škole.,You were at school yesterday.,juː wɜːɹ æt skˈuːl jˈɛstɚdˌeɪ,you_were_at_school_yesterday.opus,30101,,,,42,False,30
