czech,english,block_id,grammar_chunk_id
spisovatel,writer,,
starost,worry,,
pracovník,worker,,
úžasné,wonderful,,
deštník,umbrella,,
škaredý,ugly,,
televize,TV,,
zatočit,turn,,
obrat,turn,,
krocan,turkey,,
roura,tube,,
pokus,try,,
věrný,true,,
nákladní auto,truck,,
hračka,toy,,
věž,tower,,
ručník,towel,,
podtrhnout,underline,,
sledovat,watch,,
hodinky,watch,,
praní,wash,,
teplo,warm,,
probudit,wake,,
číšník,waiter,,
Já jím často?,Do I eat often?,36,28
Čteš ty beletrii?,Do you read beletry?,36,28
Běhá on každé ráno?,Does he run every morning?,36,28
Vaří ona snídani pokaždé?,Does she cook breakfast everytime?,36,28
Funguje to?,Does it work?,36,28
My zpíváme dobře?,Do we sing well?,36,28
Vy čekáte běžně?,Do you wait commonly?,36,28
Oni cestují každý rok?,Do they travel every year?,36,28
"Ano, běhá.","Yes, he does.",37,29
"Ne, nečteš.","No, you don't.",37,29
"Ne, nevaří.","No, she doesn't.",37,29
Já jím doma?,Do I eat at home?,,28
Ty čteš knihy?,Do you read books?,,28
On řídí auto?,Does he drive a car?,,28
Ona učí angličtinu?,Does she teach English?,,28
Bolí to?,Does it hurt?,,28
My bydlíme tady?,Do we live here?,,28
Vy potřebujete pomoc?),Do you need help?,,28
Oni hrají fotbal?,Do they play football?,,28
