czech,english,block_id,grammar_chunk_id
zničit,ruin,,
zhruba,roughly,,
upřímný,honest,,
nečestný,dishonest,,
diskuse,discussion,,
význam,importance,,
lavice,bench,,
důležité,importantly,,
královský,royal,,
žasnout,marvel,,
úžasné,marvellous,,
zapůsobit,impress,,
disko,disco,,
sportovní centrum,sports centre,,
kolotoč,roundabout,,
ragby,rugby,,
lék,drug,,
lékárna,drugstore,,
snowboard,snowboard,,
snowboarding,snowboarding,,
energický,energetic,,
školní práce,schoolwork,,
konec,ending,,
ohrozit,endanger,,

Už pracuji dvě hodiny?,Have I been working for two hours?,77,67
Čteš už od rána?,Have you been reading since this morning?,77,67
Čeká už celý den?,Has he been waiting all day?,77,67
Běhá poslední dobou každé ráno?,Has she been running every morning lately?,77,67
Prší už od včerejška?,Has it been raining since yesterday?,77,67
Učíme se už celý večer?,Have we been studying all evening?,77,67
Cestujete už celý týden?,Have you been travelling all week?,77,67
Hrají už od oběda?,Have they been playing since lunch?,77,67

