czech,english,grammar_id
hrozné,awful,
pro,pro,
argumentovat,argue,
normální,normal,
pánev,pan,
přírodní,natural,
rodák,native,
hruška,pear,
sever,north,
sportovec,athlete,
trénovat,train,
přídavné jméno,adjective,
násilný,violent,
raketa,racket,
housle,violin,
houba,mushroom,
upravit,adjust,
kamarád,pal,
bohatství,wealth,
tramvaj,tram,
výcvik,training,
proto,therefore,
směs,mix,
na rozdíl od,unlike,
cibule,onion,
množný,plural,
plus,plus,
balón,balloon,
pošta,post office,
online,online,
umělý,artificial,
patro,upstairs,
meloun,melon,
Pozor,attention,
mrkev,carrot,
psaní,writing,
zaznamenat,record,
úkol,task,
ukázat,point,
hotovost,cash
"Budeš zítra v 8 pracovat? Ano, budu.","Will you be working at 8 tomorrow? Yes, I will.",60
"Bude čekat na autobus? Ne, nebude.","Will he be waiting for the bus? No, he won't.",60
"Budou se učit anglicky? Ano, budou.","Will they be studying English? Yes, they will.",60
"Budeš používat počítač? Ne, nebudu.","Will you be using the computer? No, I won't.",60
"Bude ona vařit večeři? Ano, bude.","Will she be cooking dinner? Yes, she will.",60
"Budeme hrát fotbal odpoledne? Ne, nebudeme.","Will we be playing football in the afternoon? No, we won't.",60
"Bude někdo sedět na této židli? Ano, bude.","Will anyone be sitting on this chair? Yes, someone will.",60
"Budeš spát v té době? Ne, nebudu.","Will you be sleeping at that time? No, I won't.",60
