czech,english,grammar_id
byl,have been
dělal,have done
šel,have gone
viděl,have seen
jedl,have eaten
četl,have read
psal,have written
říkal,have said
bral,have taken
dal,have given
věděl,have known
myslel,have thought
přišel,have come
začal,have begun
držel,have held
stal se,have become
ztratil,have lost
držel,have kept
nechal,have left
potkal,have met
platil,have paid
seděl,have sat
stál,have stood
mluvil,have spoken
nosil,have worn
vyhrál,have won
prohrál,have lost
učil se,have learned
učil,have taught
kupoval,have bought
prodával,have sold
poslal,have sent
dostal,have got
zapomněl,have forgotten
řídil,have driven
plaval,have swum
zpíval,have sung
spal,have slept
pil,have drunk
běžel,have run
Udělal jsem domácí úkol.,I have done my homework.,46
Viděl jsi ten film?,You have seen the movie.,46
Ztratil klíče. (on),He has lost his keys.,46
Navštívila Paříž. (ona),She has visited Paris.,46
Snědlo večeři. (ono),It has eaten its dinner.,46
Už jsme začali.,We have already started.,46
Už jste někdy byli v Londýně?,You have ever been to London.,46
Oni koupili nový dům.,They have bought a new house.,46
