czech,english,block_id,grammar_chunk_id
jaký,what,,
byli,were,,
studna,well,,
vítejte,welcome,,
víkend,weekend,,
toaleta,toilet,,
zoo,zoo,,
bomba,bomb,,
jogurt,yoghurt,,
ještě,yet,,
žlutý,yellow,,
yard,yard,,
pokročit,advance,,
spisovatel,writer,,
by dělal,would,,
starost,worry,,
pracovník,worker,,
úžasné,wonderful,,
deštník,umbrella,,
škaredý,ugly,,
televize,TV,,
zatočit,turn,,
obrat,turn,,
krocan,turkey,,
roura,tube,,
pokus,try,,
věrný,true,,
veřejný,public,,
obdržet,receive,,
nákladní auto,truck,,
pak,then,,
také,too,,
způsob,way,,
napříč,across,,
umění,art,,
přinést,bring,,
nést,carry,,
potvrdit,confirm,,
zemřít,die,,
východ,east,,
deset hodin dopoledne,ten AM,22,18
pět hodin odpoledne,five PM,22,18
deset hodin,ten o'clock,22,18
osm hodin 10 minut,eight ten,22,18
třetího února,February 3rd,23,19
dvacátého osmého března,March 28th,23,19
prvního ledna 2026,January 1st 2026,23,19
patnáctého března 1975,March 15th 1975,23,19
