czech,english,grammar_id
manželství,marriage,
myslel,thought,
věděl,knew,
držel,held,
ponechal,kept,
začal,began,
běžel,ran,
učil jsem se,learnt,
učil jsem,taught,
spal,slept,
nosil,wore,
vyhrál,won,
plaval,swam,
letěl,flew,
padal,fell,
stál,stood,
potkal,met,
země,country,
šála,scarf,
kráva,cow,
báseň,poem,
kapsa,pocket,
rovina,plane,
palác,palace,
nátěr,paint,
malování,painting,
obraz,painting,
hodin,o'clock,
zdravotní sestra,nurse,
poznamenat,note,
poznámka,note,
notebook,notebook,
vypnuto,off,
žádný,no,
zprávy,news,
soused,neighbour,
důstojník,officer,
strana,page,
vlastnit,own,
majitel,owner,
Včera jsem nečetl knihu.,I didn't read a book yesterday.,32
Nekoupil jsi nové boty.,You didn't buy new shoes.,32
Neotevřel dveře.,He didn't open the door.,32
Nenapsala dopis.,She didn't write a letter.,32
Nesnědlo jídlo.,It didn't eat the food.,32
Nehráli jsme fotbal.,We didn't play football.,32
Nenavštívili jste muzeum.,You didn't visit the museum.,32
Neviděli film.,They didn't see a movie.,32
