czech,english,grammar_id
tábořit,camp,
předseda,chairman,
zóna,zone,
výzva,challenge,
šampaňské,champagne,
bankovnictví,banking,
mistr,champion,
mistrovství,championship,
velké písmeno,capital letter,
kapitál,capital,
odkazovat,refer,
portrét,portrait,
populace,population,
kapitola,chapter,
příjem,receipt,
znečišťovat,pollute,
max,max,
plechovka,can,
recyklovat,recycle,
zbytečné,unnecessary,
jo,yeah,
nepříjemný,unpleasant,
provozovat,operate,
policejní důstojník,police officer,
policejní stanici,police station,
policista,policeman,
policistka,policewoman,
sirotek,orphan,
centimetr,centimetre,
kampus,campus,
zdvořilý,polite,
příležitost,opportunity,
politický,political,
zamýšlet,mean,
oponovat,oppose,
kempování,camping,
talent,talent,
naproti,opposite,
původní,original,
břeh řeky,bank,
"Dům je každý rok malován.","The house is painted every year.",63
"Dopis je doručován pošťákem.","The letter is delivered by the postman.",63
"Auto je často opravováno.","The car is often repaired.",63
"Oběd je podáván ve 12 hodin.","Lunch is served at 12 o'clock.",63
"Angličtina je vyučována na této škole.","English is taught at this school.",63
"Okna jsou myta každý měsíc.","The windows are cleaned every month.",63
"Testy jsou kontrolovány učitelem.","The tests are checked by the teacher.",63
"Knihy jsou půjčovány v knihovně.","Books are borrowed from the library.",63
