czech,english,block_id,grammar_chunk_id
překvapený,surprised,,
překvapující,surprising,,
zámek,lock,,
logika,logic,,
logický,logical,,
cola,cola,,
poplach,alarm,,
litovat,regret,,
výbor,committee,,
jasně,clearly,,
nákupní centrum,mall,,
spravovat,manage,,
manažer,manager,,
truhla,chest,,
šachy,chess,,
symfonie,symphony,,
způsob,manner,,
kontrola,cheque,,
lednička,refrigerator,,
šéfkuchař,chef,,
dětství,childhood,,
jásot,cheer,,
šek,check,,
označit,mark,,
Kde jsem pracoval?,Where did I work?,54,51
Co ses díval?,What did you watch?,54,51
Kdy uklízel?,When did he clean?,54,51
Co otevřela?,What did she open?,54,51
Kdy to začalo?,When did it start?,54,51
Kde jsme hráli?,Where did we play?,54,51
Komu jste pomohli?,Who did you help?,54,51
Co navštívili?,What did they visit?,54,51
Kde jsem pracoval před touto pozicí?,Where did I work before this job?,,51
Na co ses díval včera večer?,What did you watch last night?,,51
Kdy uklízel svou kancelář?,When did he clean his office?,,51
Co otevřela po příchodu domů?,What did she open after she got home?,,51
Kdy to celé začalo?,When did it all start?,,51
Kde jsme hráli minulý měsíc?,Where did we play last month?,,51
Komu jste pomohli po nehodě?,Who did you help after the accident?,,51
Co navštívili během dovolené?,What did they visit during their holiday?,,51
