czech,english,grammar_id
denní světlo,daylight,
ocenit,appreciate,
jmenovat (do funkce),appoint,
jmenování,appointment,
okamžitý,instant,
žaludek,stomach,
bolest břicha,stomachache,
bytost,being,
vymyslet,invent,
vynález,invention,
návrat,return,
hluboce,deeply,
vykročit,step,
v pořádku,alright,
zajímat,interest,
břicho,belly,
steak,steak,
uvést,state,
prohlášení,statement,
odhalit,reveal,
inteligence,intelligence,
unie,union,
shledání,reunion,
napadnout,invade,
dobře,alright,
naplánovat,budget,
vrátit,return,
žárovka,bulb,
nebezpečí,danger,
inspirovat,inspire,
inspirace,inspiration,
žebrat,beg,
sporák,stove,
popis,description,
prokletí,curse,
narovnat,right,
kari,curry,
dříve než,before,
vnitřní,inner,
přímý,straight,
Kdy přijdeš?,When will you come?,38
Kdo ti pomůže?,Who will help you?,38
Proč to udělá?,Why will he do it?,38
Kde budou bydlet?,Where will they live?,38
Jak to vysvětlíš?,How will you explain it?,38
Co si dáme k večeři?,What will we have for dinner?,38
Proč to neuděláš?,Why won’t you do it?,38
Kdy nepřijde?,When won’t she come?,38
