czech,english,grammar_chunk_id,block_id,note_id
měsíc (na nebi),moon,,,
pomoc,help,,,
znát,know,,,
nový,new,,,
papír,paper,,,
ukázat,show,,,
silnice,road,,,
odpověď,answer,,,
tancovat,dance,,,
dělat,do,,,
každý,each,,,
povolání,job,,,
život,life,,,
osoba,person,,,
připravený,ready,,,
schopný,able,,,
nápad,idea,,,
druh,kind,,,
udělat,make,,,
mír,peace,,,
důležitý,important,,,
populární,popular,,,
správně,right,,,
tak,so,,,
Já jsem?,Am I?,5,11,
Ty jsi?,Are you?,5,11,
On je?,Is he?,5,11,
Ona je?,Is she?,5,11,
Ono je?,Is it?,5,11,
My jsme?,Are we?,5,11,
Vy jste?,Are you?,5,11,
Oni jsou?,Are they?,5,11,
"Ano, jsem.","Yes, I am.",6,12,
"Ano, on je.","Yes, he is.",6,12,
"Ano, ona je.","Yes, she is.",6,12,
"Ano, my jsme.","Yes, we are.",6,12,
"Ne, nejsem.","No, I'm not.",6,12,
"Ne, on není.","No, he's not.",6,12,
"Ne, ona není.","No, she's not.",6,12,
"Ne, my nejsme.","No, we're not.",6,12,
Jsem tlustý?,Am I fat?,5,,
Jsi smutný?,Are you sad?,5,,
Je velký?,Is he big?,5,,
Je malá?,Is she small?,5,,
Je to rychlé?,Is it fast?,5,,
Jsme mladí?,Are we young?,5,,
Jste staří?,Are you old?,5,,
Jsou silní?,Are they strong?,5,,
