czech,english,block_id,grammar_chunk_id,
akce,action,,,
sám,alone,,,
snídaně,breakfast,,,
pokračovat,continue,,,
mrtvý,dead,,,
užívat si,enjoy,,,
plný,full,,,
zahrada,garden,,,
cena,price,,,
výsledek,result,,,
říct,tell,,,
výhled,view,,,
s,with,,,
proti,against,,,
autobus,bus,,,
společnost,company,,,
poušť,desert,,,
drahý,expensive,,,
květina,flower,,,
kostel,church,,,
možné,possible,,,
nemožné,impossible,,,
opustit,leave,,,
plán,plan,,,
určitý člen,the,19,11,
neurčitý člen,"a, an",19,11,
Jsem učitel.,I'm a teacher.,19,11,
Jsem ten učitel.,I'm the teacher.,19,11,
Jsou učitelé.,They're teachers.,19,11,
Jsou to ti učitelé.,They're the teachers.,19,11,
Toto je voda.,This is water.,19,11,
Toto je sklenice vody.,This is a glass of water.,19,11,
Toto jsou sklenice vody.,These are glasses of water.,19,11,
