czech,english,grammar_id,block_id
muzeum,museum,,
film,movie,,
přišel,came,,
šel,went,,
měl,had,,
dostal,got,,
dal,gave,,
našel,found,,
viděl,saw,,
jedl,ate,,
pil,drank,,
psal,wrote,,
četl,read,,
běžel,ran,,
vzal,took,,
dělal,made,,
řekl,said,,
přinesl,brought,,
koupil,bought,,
chytil,caught,,
vybral,chose,,
řídil,drove,,
zapomněl,forgot,,
slyšel,heard,,
odešel,left,,
ztratil,lost,,
zaplatil,paid,,
seděl,sat,,
úsměv,smile,,
lístek,ticket,,
dobře,well,,
nehoda,accident,,
krev,blood,,
obchod,business,,
během,during,,
dokonce,even,,
podlaha,floor,,
obecný,general,,
vybrat,choose,,
informovat,inform,,
Včera jsem četl knihu.,I read a book yesterday.,31,
Koupil jsi nové boty.,You bought new shoes.,31,
Otevřel dveře. (on),He opened the door.,31,
Napsala dopis. (ona),She wrote a letter.,31,
Snědlo jídlo. (ono),It ate the food.,31,
Hráli jsme fotbal.,We played football.,31,
Navštívili jste muzeum.,You visited the museum.,31,
Viděli film.,They saw a movie.,31,
