czech,english,block_id,grammar_chunk_id
pár,few,,
plot,fence,,
žena,female,,
daný,given,,
samostatný,separate,,
poplatek,fee,,
postava,figure,,
umlčet,silence,,
peří,feather,,
tichý,silent,,
tiše,silently,,
hloupý,silly,,
strach,fear,,
zeměkoule,globe,,
chyba,fault,,
stříbrný,silver,,
senior,senior,,
funkce,feature,,
opravit,fix,,
kotník,ankle,,
rybář,fisherman,,
shot,shot,,
desková hra,board game,,
otravovat,annoy,,
já jsem neskončil,I haven't finished,67,64
ty jsi neviděl,you haven't seen,67,64
on neztratil,he hasn't lost,67,64
ona se nerozhodla,she hasn't decided,67,64
ono se nerozbilo,it hasn't broken,67,64
my jsme nepřijeli,we haven't arrived,67,64
vy jste nezapomněli,you haven't forgotten,67,64
oni ještě nejedli,they haven't eaten yet,67,64
Ještě jsem nedokončil zprávu.,I haven't finished the report yet.,,64
Tento film jsi ještě neviděl.,You haven't seen this film yet.,,64
On neztratil svůj pas.,He hasn't lost his passport.,,64
Ona se ještě nerozhodla.,She hasn't decided yet.,,64
Počítač se zatím nerozbil.,It hasn't broken down yet.,,64
Ještě jsme nedorazili do hotelu.,We haven't arrived at the hotel yet.,,64
Nezapomněli jste na schůzku.,You haven't forgotten the meeting.,,64
Ještě nejedli oběd.,They haven't eaten lunch yet.,,64
