czech,english
jedna,one
dva,two
tři,three
čtyři,four
pět,five
šest,six
sedm,seven
osm,eight
devět,nine
deset,ten
jedenáct,eleven
dvanáct,twelve
dvacet,twenty
třicet,thirty
sto,hundred

červená,red
modrá,blue
zelená,green
žlutá,yellow
černá,black
bílá,white
hnědá,brown
růžová,pink
oranžová,orange
fialová,purple
šedá,gray
zlatá,gold
stříbrná,silver

matka,mother
otec,father
bratr,brother
sestra,sister
syn,son
dcera,daughter
rodiče,parents
strýc,uncle
teta,aunt
bratranec,cousin
sestřenice,cousin
babička,grandmother
dědeček,grandfather

den,day
pondělí,Monday
úterý,Tuesday
středa,Wednesday
čtvrtek,Thursday
pátek,Friday
sobota,Saturday
neděle,Sunday

jíst,eat
pít,drink
jít,go
přijít,come
hrát,play
číst,read
psát,write
běžet,run
chodit,walk
mluvit,talk
spát,sleep
pracovat,work
sedět,sit
stát,stand
otevřít,open
zavřít,close
koupit,buy
prodat,sell
vařit,cook

kniha,book
pero,pen
stůl,table
židle,chair
škola,school
učitel,teacher
student,student
taška,bag
dům,house
auto,car
telefon,phone
postel,bed
počítač,computer
hodiny,clock

horký,hot
studený,cold
velký,big
malý,small
šťastný,happy
smutný,sad
dobrý,good
špatný,bad
rychlý,fast
pomalý,slow
vysoký,tall
krátký,short
světlý,light
tmavý,dark
mladý,young
starý,old
snadný,easy
těžký,hard
blízko,near
daleko,far

ahoj,hello
čau,hi
nashledanou,goodbye
dobré ráno,good morning
dobrý večer,good evening
dobrou noc,good night
prosím,please
děkuji,thank you
omlouvám se,sorry
promiňte,excuse me
ano,yes
ne,no

hlava,head
vlasy,hair
oko,eye
ucho,ear
nos,nose
ústa,mouth
zuby,teeth
jazyk,tongue
krk,neck
ruka,hand
paže,arm
noha,leg
chodidlo,foot
prst,finger
prst u nohy,toe
břicho,stomach
záda,back

chleba,bread
rýže,rice
voda,water
mléko,milk
jablko,apple
banán,banana
pomeranč,orange
mango,mango
maso,meat
ryba,fish
vejce,egg
sýr,cheese
polévka,soup
čaj,tea
káva,coffee
džus,juice
cukr,sugar
sůl,salt

slunce,sun
déšť,rain
mrak,cloud
sníh,snow
vítr,wind
bouře,storm
teplý,warm
léto,summer
zima,winter
jaro,spring
podzim,autumn

domov,home
škola,school
park,park
nemocnice,hospital
obchod,shop
trh,market
kancelář,office
banka,bank
restaurace,restaurant
nádraží,station
letiště,airport
ulice,street
město,city
vesnice,village
země,country

košile,shirt
tričko,t-shirt
kalhoty,pants
sukně,skirt
boty,shoes
ponožky,socks
klobouk,hat
kabát,coat
bunda,jacket
svetr,sweater
rukavice,gloves
šála,scarf

pes,dog
kočka,cat
kráva,cow
koza,goat
kůň,horse
ovce,sheep
kuře,chicken
ryba,fish
pták,bird
kachna,duck
lev,lion
tygr,tiger
slon,elephant
opice,monkey

ráno,morning
odpoledne,afternoon
večer,evening
noc,night
den,day
týden,week
měsíc,month
rok,year
dnes,today
zítra,tomorrow
včera,yesterday
hodina,hour
minuta,minute
sekunda,second
