czech,english
potěšit,please,,
získat,gain,,
žluč,gall,,
umělecký,artistic,,
hrnec,pot,,
zástrčka,plug,,
listonoš,postman,,
jed,poison,,
pánev,frying pan,,
palivo,fuel,,
stínit,shadow,,
stínový,shadowy,,
tečka,full stop,,
na plný úvazek,full-time,,
galon,gallon,,
poezie,poetry,,
funkce,function,,
kapesné,pocket money,,
fond,fund,,
financovat,fund,,
pohřeb,funeral,,
pohlednice,postcard,,
srst,fur,,
básník,poet,,
rukopis,handwriting,,
fráze,phrase,,
slavný,glorious,,
růst,growth,,
záruka,guarantee,,
arašíd,peanut,,
stlačit,press,,
tisk,press,,
vyhledávat,search,,
vedení,guidance,,
asociate,associate,,
převzít,assume,,
pozastavit,pause,,
vina,guilt,,
mořská voda,seawater,,
vinen,guilty,,
mořské řasy,seaweed,,
seskupení,grouping,,
tajně,secretly,,
prezentace,presentation,,
zachovat,preserve,,
zachování,preservation,,
zvláštní,peculiar,,
antikvární,second-hand,,
