czech,english,block_id,grammar_chunk_id
inzerát,advertisement,,
až do,till,,
zatímco,while,,
vlastně,actually,,
pozadí,background,,
invalidní vozík,wheelchair,,
plocha,area,,
vražda,murder,,
pokročit,advance,,
pokročilý,advanced,,
pláštěnka,raincoat,,
zubní kartáček,toothbrush,,
pepř,pepper,,
dobře známý,well-known,,
bolest zubů,toothache,,
džbánek,mug,,
podstatné jméno,noun,,
západ,west,,
pohled,view,,
tón,tone,,
videohra,video game,,
paní,Ms,,
perfektní,perfect,,
dokonale,perfectly,,
já budu pracovat,I'll be working,78,75
ty budeš řídit,you'll be driving,78,75
on bude spát,he'll be sleeping,78,75
ona bude studovat,she'll be studying,78,75
ono bude pršet,it'll be raining,78,75
my budeme cestovat,we'll be travelling,78,75
vy budete čekat,you'll be waiting,78,75
oni budou hrát,they'll be playing,78,75
Zítra v devět budu pracovat.,I'll be working at nine tomorrow.,,75
V poledne budeš řídit do města.,You'll be driving into town at noon.,,75
"On bude spát, až přijdeš.",He'll be sleeping when you arrive.,,75
Ona bude večer studovat.,She'll be studying in the evening.,,75
Během zápasu bude pršet.,It'll be raining during the match.,,75
Příští týden budeme cestovat.,We'll be travelling next week.,,75
V šest hodin budete čekat před hotelem.,You'll be waiting outside the hotel at six.,,75
O víkendu budou hrát tenis.,They'll be playing tennis at the weekend.,,75
