czech,english,block_id,grammar_chunk_id,note_id,topic_id
já,I,3,,,3
ty,you,3,,,3
on,he,3,,,3
ona,she,3,,,3
ono,it,3,,,3
my,we,3,,,3
vy,you,3,,,3
oni,they,3,,,3
tam,there,,,,
dítě,child,,,,
muž,man,,,,
žena,woman,,,,
jídlo,food,,,,
pití,drink,,,,
obtížný,difficult,,,,
po,after,,,,
poledne,noon,,,,
kdo,who,,,,
co,what,,,,
kde,where,,,,
proč,why,,,,
jak,how,,,,
leden,January,4,,,4
únor,February,4,,,4
březen,March,4,,,4
duben,April,4,,,4
květen,May,4,,,4
červen,June,4,,,4
červenec,July,5,,,4
srpen,August,5,,,4
září,September,5,,,4
říjen,October,5,,,4
listopad,November,5,,,4
prosinec,December,5,,,4
mít,have,,,,
číslo,number,,,,
bochník,loaf,,,,
šálek,cup,,,,
sklenice,glass,,,,
myš,mouse,,,,
dopis,letter,,,,
věc,thing,,,,
žádný,none,,,,
nic,nothing,,,,
nějaký,some,,,,
něco,something,,,,
jakýkoliv,any,,,,
cokoliv,anything,,,,
který,which,,,,
čí,whose,,,,
z,from,,,,
jméno,name,,,,
špatně,wrong,,,,
čas,time,,,,
toto,this,,,,
tamto,that,,,,
tyto,these,,,,
ti,those,,,,
student,student,,,,
žít,live,,,,
vzduch,air,,,,
sklad,store,,,,
v,in,,,,
na,on,,,,
na,at,,,,
k,to,,,,
plakat,cry,,,,
vždy,always,,,,
každý,every,,,,
nikdy,never,,,,
všechno,everything,,,,
tělo,body,,,,
všichni,everyone,,,,
všichni,everybody,,,,
nikdo,no one,,,,
nikdo,nobody,,,,
opatrný,careful,,,,
krabice,box,,,,
okno,window,,,,
dveře,door,,,,
