czech,english,block_id,grammar_chunk_id
postupně,gradually,,
zpěv,singing,,
jedinný,single,,
známý,familiar,,
expert,expert,,
zažít,experience,,
skluzavka,slide,,
mořské plody,seafood,,
přesně,exactly,,
pistole,gun,,
štíhlý,slim,,
deka,blanket,,
důkaz,evidence,,
značka,brand,,
statečný,brave,,
vina,blame,,
skript,script,,
vůbec,ever,,
zkouška,exam,,
přerušení,break,,
rozpůlit,half,,
tabule,blackboard,,
poloviční cenu,half-price,,
pomalu,slowly,,
Kdy budu volat?,When am I going to call?,62,59
Co budeš vařit?,What are you going to cook?,62,59
Kdy začne?,When is he going to start?,62,59
Kam odjede?,Where is she going to leave?,62,59
Kdy to spadne?,When is it going to fall?,62,59
Kde zůstaneme?,Where are we going to stay?,62,59
Co vyhrajete?,What are you going to win?,62,59
Kdy přijedou?,When are they going to arrive?,62,59
Kdy mu budu volat s novinkami?,When am I going to call him with the news?,,59
Co budeš vařit k večeři?,What are you going to cook for dinner?,,59
Kdy začne on pracovat na projektu?,When is he going to start working on the project?,,59
Kam odjede ona na dovolenou?,Where is she going to go on holiday?,,59
Kdy to podle tebe spadne?,"When is it going to fall, do you think?",,59
Kde zůstaneme po koncertu?,Where are we going to stay after the concert?,,59
Co vyhrajete za nejlepší výkon?,What are you going to win for the best performance?,,59
Kdy přijedou na návštěvu?,When are they going to arrive for their visit?,,59
