czech,english,block_id,grammar_chunk_id
kvalita,quality,,
pračka,washing machine,,
slovník,vocabulary,,
mytí nádobí,washing-up,,
hlučný,noisy,,
zabránit,prevent,,
dosáhnout,achieve,,
nervový,nervous,,
poklad,treasure,,
negativní,negative,,
tiše,quietly,,
předstírat,pretend,,
cestovatel,traveller,,
soukromé,private,,
cestování,travel,,
astronaut,astronaut,,
přestat,quit,,
sdružení,association,,
PC,PC,,
past,trap,,
vlna,wave,,
argument,argument,,
hrášek,pea,,
nikdo,nobody,,
"Kdybych to věděl, zavolal bych","If I'd known, I'd have called",82,79
"Kdybys přišel, pomohl bys","If you'd come, you'd have helped",82,79
"Kdyby studoval, uspěl by","If he'd studied, he'd have succeeded",82,79
"Kdyby se připravila, vyhrála by","If she'd prepared, she'd have won",82,79
"Kdyby se rozbilo, opravili bychom to","If it'd broken, we'd have fixed it",82,79
"Kdybychom odešli dřív, stihli bychom vlak","If we'd left earlier, we'd have caught the train",82,79
"Kdybyste poslouchali, rozuměli byste","If you'd listened, you'd have understood",82,79
"Kdyby odešli dřív, viděli by začátek","If they'd left earlier, they'd have seen the beginning",82,79
"Kdybych věděl o změně, zavolal bych ti.","If I'd known about the change, I'd have called you.",,79
"Kdybys přišel dříve, pomohl bys nám.","If you'd come earlier, you'd have helped us.",,79
"Kdyby více studoval, zkoušku by složil.","If he'd studied more, he'd have passed the exam.",,79
"Kdyby se lépe připravila, vyhrála by závod.","If she'd prepared better, she'd have won the race.",,79
"Kdyby se rozbil, koupili bychom nový.","If it had broken, we'd have bought a new one.",,79
"Kdybychom odešli dříve, stihli bychom vlak.","If we'd left earlier, we'd have caught the train.",,79
"Kdybyste poslouchali pokyny, rozuměli byste úkolu.","If you'd listened to the instructions, you'd have understood the task.",,79
"Kdyby odešli dříve, viděli by začátek představení.","If they'd left earlier, they'd have seen the start of the show.",,79
