czech,english,block_id,grammar_chunk_id
pravítko,ruler,,
hrubý,rude,,
řádek,row,,
růže,rose,,
úloha,role,,
správný,right,,
právo,right,,
tlačit,push,,
víčko,cap,,
album,album,,
přinést,bring,,
stát za něčím,behind,,
základna,base,,
baseball,baseball,,
jasný,bright,,
rozzlobený,angry,,
zástěra,apron,,
blok,block,,
nic,anything,,
košík,basket,,
basketball,basketball,,
netopýr,bat,,
podnikání,business,,
přítel,boyfriend,,
já čtu,I'm reading,48,38
ty vaříš,you're cooking,48,38
on řídí,he's driving,48,38
ona píše,she's writing,48,38
ono prší,it's raining,48,38
my čekáme,we're waiting,48,38
vy se učíte,you're learning,48,38
oni běží,they're running,48,38
Čtu novou knihu.,I'm reading a new book.,,38
Vaříš večeři.,You're cooking dinner.,,38
Řídí do práce.,He's driving to work.,,38
Píše e-mail.,She's writing an email.,,38
Prší.,It's raining.,,38
Čekáme na autobus.,We're waiting for the bus.,,38
Učíte se.,You're studying.,,38
Běží.,They're running.,,38
