czech,english,block_id,grammar_chunk_id
model,model,,
nepříjemný,uneasy,,
paprsek,ray,,
větrný,windy,,
víno,wine,,
poutník,pilgrim,,
vítěz,winner,,
pilulka,pill,,
mobilní,mobile,,
tahat,pull,,
žíznivý,thirsty,,
architektura,architecture,,
badminton,badminton,,
mešita,mosque,,
rap,rap,,
dub,oak,,
inzerce,advertising,,
rada,advice,,
celý,whole,,
uvázat,tie,,
uklizeno,tidy,,
uklidit,tidy,,
přesný,precise,,
koho,whom,,
Budu pracovat?,Will I be working?,80,77
Budeš řídit?,Will you be driving?,80,77
Bude spát?,Will he be sleeping?,80,77
Bude studovat?,Will she be studying?,80,77
Bude pršet?,Will it be raining?,80,77
Budeme cestovat?,Will we be travelling?,80,77
Budete čekat?,Will you be waiting?,80,77
Budou hrát?,Will they be playing?,80,77
Budu zítra ráno pracovat z domova?,Will I be working from home tomorrow morning?,,77
Budeš v poledne řídit?,Will you be driving at noon?,,77
Bude on v deset hodin spát?,Will he be sleeping at ten?,,77
Bude ona večer studovat?,Will she be studying in the evening?,,77
Bude během zápasu pršet?,Will it be raining during the match?,,77
Budeme příští týden cestovat?,Will we be travelling next week?,,77
Budete na nás čekat před hotelem?,Will you be waiting for us outside the hotel?,,77
Budou v sobotu hrát fotbal?,Will they be playing football on Saturday?,,77
