czech,english,block_id,grammar_chunk_id
narození,birth,,
obě,both,,
zlomit,break,,
zlomený,broken,,
zvonek,bell,,
motýl,butterfly,,
smutný,blue,,
láhev,bottle,,
rána,blow,,
pryč,away,,
vytvořit,build,,
miska,bowl,,
nejlepší způsob,best,,
mozek,brain,,
štětec,brush,,
hamburger,burger,,
pláž,beach,,
aktivita,activity,,
fazole,bean,,
někdo,anybody,,
zadní,back,,
podpořit,back,,
sušenka,biscuit,,
narozeniny,birthday,,
já nespím,I'm not sleeping,49,39
ty neposloucháš,you aren't listening,49,39
on nepracuje,he isn't working,49,39
ona neřídí,she isn't driving,49,39
ono neprší,it isn't raining,49,39
my nečekáme,we aren't waiting,49,39
vy neplatíte,you aren't paying,49,39
oni nepřicházejí,they aren't coming,49,39
"Teď nespím, jen odpočívám.",I'm not sleeping; I'm just resting.,,39
Neposloucháš moje pokyny.,You aren't listening to my instructions.,,39
Dnes nepracuje z domova.,He isn't working from home today.,,39
Ona teď neřídí auto.,She isn't driving the car right now.,,39
Venku už neprší.,It isn't raining outside anymore.,,39
Nečekáme na vlak.,We're not waiting for the train.,,39
Neplatíte za objednávku.,You aren't paying for the order.,,39
Dnes večer nepřicházejí.,They aren't coming tonight.,,39
