czech,english,block_id,grammar_chunk_id
obchodní dům,department store,,
začátečník,beginner,,
želé,jelly,,
džem,jam,,
znamenat,signify,,
významný,significant,,
úspěšně,successfully,,
ztracený,lost,,
úděl,lot,,
hlasitý,loud,,
hlasitě,loudly,,
polykat,swallow,,
vodítko,clue,,
klaun,clown,,
potit,sweat,,
kabina,cab,,
výhodná dohoda,bargain,,
naštěstí,luckily,,
pravidelně,regularly,,
ulička,aisle,,
cvaknutí,click,,
milý,sweet,,
miláček,sweetheart,,
úředník,clerk,,
já jsem nepracoval,I didn't work,52,49
ty ses nedíval,you didn't watch,52,49
on neuklízel,he didn't clean,52,49
ona neotevřela,she didn't open,52,49
ono nezačalo,it didn't start,52,49
my jsme nehráli,we didn't play,52,49
vy jste nepomohli,you didn't help,52,49
oni nenavštívili,they didn't visit,52,49
Včera jsem nešel do práce.,I didn't go to work yesterday.,,49
Nedíval ses na ten film.,You didn't watch the film.,,49
On si nekoupil lístek.,He didn't buy a ticket.,,49
Ona nenapsala odpověď.,She didn't write a reply.,,49
Počítač se ráno nespustil.,It didn't start this morning.,,49
Nejeli jsme minulý víkend pryč.,We didn't go away last weekend.,,49
Nepomohli jste nám s projektem.,You didn't help us with the project.,,49
Nenavštívili své rodiče.,They didn't visit their parents.,,49
