czech,english,grammar_id
podstatné jméno,noun,
pohled,view,
tón,tone,
videohra,video game,
paní,Ms,
perfektní,perfect,
dokonale,perfectly,
mokré,wet,
výkon,performance,
román,novel,
parfém,perfume,
pronásledovat,pursue,
punčocháče,tights,
další,additional,
fyzicky,physically,
výroba,production,
upéct,bake,
pod vodou,underwater,
myšlení,thought,
ačkoli,though,
hodnotit,rate,
hodnocení,rating,
profesionální,professional,
zámoří,overseas,
syrový,raw,
ozbrojit,arm,
ozbrojený,armed,
povolání,occupation,
nadváha,overweight,
model,model,
nepříjemný,uneasy,
paprsek,ray,
větrný,windy,
víno,wine,
poutník,pilgrim,
vítěz,winner,
pilulka,pill,
mobilní,mobile,
tahat,pull,
žíznivý,thirsty,
"Viděl jsi ten film? Ano, viděl jsem.","Had you seen the movie? Yes, I had.",56
"On ztratil klíče? Ne, neztratil.","Had he lost his keys? No, he hadn't.",56
"Už jste začali? Ano, začali jsme.","Had you already started? Yes, we had.",56
"Oni koupili nový dům? Ne, nekoupili.","Had they bought a new house? No, they hadn't.",56
"Četl jsi tu knihu? Ano, četl jsem.","Had you read the book? Yes, I had.",56
"Ona napsala dopis? Ne, nenapsala.","Had she written a letter? No, she hadn't.",56
"Byl jsi v Londýně? Ano, byl jsem.","Had you been to London? Yes, I had.",56
"Jedl jsi snídani? Ne, nejedl jsem.","Had you eaten breakfast? No, I hadn't.",56
