czech,english,block_id,grammar_chunk_id
slunečnice,sunflower,,
sluneční brýle,sunglasses,,
levá ruka,left-hand,,
opravdu,indeed,,
obtížnost,difficulty,,
gram,gramme,,
blondýnka,blonde,,
rozzlobeně,angrily,,
vnouče,grandchild,,
dědeček,granddad,,
velmi,extremely,,
obývací pokoj,sitting room,,
navíc,extra,,
zdát,seem,,
anděl,angel,,
babička,granny,,
starověké,ancient,,
brusle,skate,,
výraz,expression,,
hledat,seek,,
rychlík,express,,
semínko,seed,,
skateboarding,skateboarding,,
prozkoumat,explore,,

já nebudu volat,I'm not going to call,65,55
ty nebudeš vařit,you aren't going to cook,65,55
on nezačne,he isn't going to start,65,55
ona neodjede,she isn't going to leave,65,55
ono nespadne,it isn't going to fall,65,55
my nezůstaneme,we aren't going to stay,65,55
vy nevyhrajete,you aren't going to win,65,55
oni nepřijedou,they aren't going to arrive,65,55
