czech,english,block_id,grammar_chunk_id
autor,author,,
povolení,permit,,
povolení,permission,,
toast,toast,,
křeslo,armchair,,
dnes,nowadays,,
titul,title,,
nejistý,uncertain,,
balit,pack,,
balíček,pack,,
dálnice,motorway,,
osobnost,personality,,
Pacifik,pacific,,
nepříjemný,uncomfortable,,
tip,tip,,
předpovědět,predict,,
předpověď,prediction,,
atom,atom,,
rozsah,range,,
jízdní řád,timetable,,
většinou,mostly,,
benzín,petrol,,
čerpací stanice,petrol station,,
inzerovat,advertise,,
Kdy jsem odešel?,When had I left?,77,74
Co jsi dokončil?,What had you finished?,77,74
Co jedl?,What had he eaten?,77,74
Kdy přijela?,When had she arrived?,77,74
Co to poškodilo?,What had it damaged?,77,74
Na co jsme zapomněli?,What had we forgotten?,77,74
Co jste viděli?,What had you seen?,77,74
Kam odešli?,Where had they gone?,77,74
Kdy jsem odešel z kanceláře?,When had I left the office?,,74
Co jsi dokončil před obědem?,What had you finished before lunch?,,74
Co jedl před cestou?,What had he eaten before the journey?,,74
Kdy přijela na nádraží?,When had she arrived at the station?,,74
Co to poškodilo během noci?,What had it damaged during the night?,,74
Na co jsme zapomněli doma?,What had we forgotten at home?,,74
Co jste viděli před začátkem filmu?,What had you seen before the film started?,,74
Kam odešli po schůzce?,Where had they gone after the meeting?,,74
