czech,english,block_id,grammar_chunk_id
mokré,wet,,
provést,perform,,
výkon,performance,,
román,novel,,
parfém,perfume,,
pronásledovat,pursue,,
produkovat,produce,,
punčocháče,tights,,
další,additional,,
fyzicky,physically,,
výroba,production,,
upéct,bake,,
pod vodou,underwater,,
myšlení,thought,,
ačkoli,though,,
hodnotit,rate,,
hodnocení,rating,,
profesionální,professional,,
zámoří,overseas,,
syrový,raw,,
ozbrojit,arm,,
ozbrojený,armed,,
povolání,occupation,,
nadváha,overweight,,
já nebudu pracovat,I won't be working,79,76
ty nebudeš řídit,you won't be driving,79,76
on nebude spát,he won't be sleeping,79,76
ona nebude studovat,she won't be studying,79,76
ono nebude pršet,it won't be raining,79,76
my nebudeme cestovat,we won't be travelling,79,76
vy nebudete čekat,you won't be waiting,79,76
oni nebudou hrát,they won't be playing,79,76
Zítra ráno nebudu pracovat.,I won't be working tomorrow morning.,,76
Večer nebudeš řídit.,You won't be driving in the evening.,,76
O půlnoci nebude spát.,He won't be sleeping at midnight.,,76
Ona nebude studovat přes víkend.,She won't be studying over the weekend.,,76
Během výletu nebude pršet.,It won't be raining during the trip.,,76
Příští měsíc nebudeme cestovat.,We won't be travelling next month.,,76
V pět hodin nebudete čekat venku.,You won't be waiting outside at five.,,76
Ve středu nebudou hrát doma.,They won't be playing at home on Wednesday.,,76
