czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
běžet,run,ɹˈʌn,run.opus,2000,,,,,True,2
chodit,walk,wˈɔːk,walk.opus,2001,,,,,True,2
mluvit,talk,tˈɔːk,talk.opus,2002,,,,,True,2
spát,sleep,slˈiːp,sleep.opus,2003,,,,,True,2
pracovat,work,wˈɜːk,work.opus,2004,,,,,True,2
sedět,sit,sˈɪt,sit.opus,2005,,,,,True,2
stát,stand,stˈænd,stand.opus,2006,,,,,True,2
otevřít,open,ˈoʊpən,open.opus,2007,,,,,True,2
zavřít,close,klˈoʊs,close.opus,2008,,,,,True,2
koupit,buy,bˈaɪ,buy.opus,2009,,,,,True,2
prodat,sell,sˈɛl,sell.opus,2010,,,,,True,2
vařit,cook,kˈʊk,cook.opus,2011,,,,,True,2
týden,week,wˈiːk,week.opus,2012,,,,,True,2
měsíc (kalendářní),month,mˈʌnθ,month.opus,2013,,,,,True,2
rok,year,jˈɪɹ,year.opus,2014,,,,,True,2
dnes,today,tədˈeɪ,today.opus,2015,,,,,True,2
zítra,tomorrow,təmˈɑːɹoʊ,tomorrow.opus,2016,,,,,True,2
včera,yesterday,jˈɛstɚdˌeɪ,yesterday.opus,2017,,,,,True,2
hodina,hour,ˈaʊɚ,hour.opus,2018,,,,,True,2
minuta,minute,mˈɪnɪt,minute.opus,2019,,,,,True,2
sekunda,second,sˈɛkənd,second.opus,2020,,,,,True,2
kniha,book,bˈʊk,book.opus,2021,,,,,True,2
pero (psací),pen,pˈɛn,pen.opus,2022,,,,,True,2
stůl,table,tˈeɪbəl,table.opus,2023,,,,,True,2
židle,chair,tʃˈɛɹ,chair.opus,2024,,,,,True,2
škola,school,skˈuːl,school.opus,2025,,,,,True,2
učitel,teacher,tˈiːtʃɚ,teacher.opus,2026,,,,,True,2
žák,pupil,pjˈuːpəl,pupil.opus,2027,,,,,True,2
taška,bag,bˈæɡ,bag.opus,2028,,,,,True,2
dům,house,hˈaʊs,house.opus,2029,,,,,True,2
auto,car,kˈɑːɹ,car.opus,2030,,,,,True,2
telefon,phone,fˈoʊn,phone.opus,2031,,,,,True,2
postel,bed,bˈɛd,bed.opus,2032,,,,,True,2
počítač,computer,kəmpjˈuːɾɚ,computer.opus,2033,,,,,True,2
hodiny (přístroj),clock,klˈɑːk,clock.opus,2034,,,,,True,2
horký,hot,hˈɑːt,hot.opus,2035,,,,,True,2
studený,cold,kˈoʊld,cold.opus,2036,,,,,True,2
velký,big,bˈɪɡ,big.opus,2037,,,,,True,2
malý,small,smˈɔːl,small.opus,2038,,,,,True,2
šťastný,happy,hˈæpi,happy.opus,2039,,,,,True,2
smutný,sad,sˈæd,sad.opus,2040,,,,,True,2
špatný,bad,bˈæd,bad.opus,2041,,,,,True,2
rychlý,fast,fˈæst,fast.opus,2042,,,,,True,2
pomalý,slow,slˈoʊ,slow.opus,2043,,,,,True,2
vysoký,tall,tˈɔːl,tall.opus,2044,,,,,True,2
krátký,short,ʃˈɔːɹt,short.opus,2045,,,,,True,2
světlý,light,lˈaɪt,light.opus,2046,,,,,True,2
tmavý,dark,dˈɑːɹk,dark.opus,2047,,,,,True,2
mladý,young,jˈʌŋ,young.opus,2048,,,,,True,2
starý,old,ˈoʊld,old.opus,2049,,,,,True,2
snadný,easy,ˈiːzi,easy.opus,2050,,,,,True,2
tvrdý,hard,hˈɑːɹd,hard.opus,2051,,,,,True,2
blízko,near,nˈɪɹ,near.opus,2052,,,,,True,2
daleko,far,fˈɑːɹ,far.opus,2053,,,,,True,2
hlava,head,hˈɛd,head.opus,2054,,,,,True,2
vlasy,hair,hˈɛɹ,hair.opus,2055,,,,,True,2
oko,eye,ˈaɪ,eye.opus,2056,,,,,True,2
ucho,ear,ˈɪɹ,ear.opus,2057,,,,,True,2
nos,nose,nˈoʊz,nose.opus,2058,,,,,True,2
ústa,mouth,mˈaʊθ,mouth.opus,2059,,,,,True,2
zuby,teeth,tˈiːθ,teeth.opus,2060,,,,,True,2
jazyk (v puse),tongue,tˈʌŋ,tongue.opus,2061,,,,,True,2
krk,neck,nˈɛk,neck.opus,2062,,,,,True,2
ruka,hand,hˈænd,hand.opus,2063,,,,,True,2
paže,arm,ˈɑːɹm,arm.opus,2064,,,,,True,2
noha,leg,lˈɛɡ,leg.opus,2065,,,,,True,2
chodidlo,foot,fˈʊt,foot.opus,2066,,,,,True,2
prst,finger,fˈɪŋɡɚ,finger.opus,2067,,,,,True,2
prst (na noze),toe,tˈoʊ,toe.opus,2068,,,,,True,2
břicho,stomach,stˈʌmək,stomach.opus,2069,,,,,True,2
záda,back,bˈæk,back.opus,2070,,,,,True,2
chleba,bread,bɹˈɛd,bread.opus,2071,,,,,True,2
rýže,rice,ɹˈaɪs,rice.opus,2072,,,,,True,2
voda,water,wˈɔːɾɚ,water.opus,2073,,,,,True,2
mléko,milk,mˈɪlk,milk.opus,2074,,,,,True,2
jablko,apple,ˈæpəl,apple.opus,2075,,,,,True,2
banán,banana,bɐnˈænə,banana.opus,2076,,,,,True,2
pomeranč,orange,ˈɔɹɪndʒ,orange.opus,2077,,,,,True,2
mango,mango,mˈæŋɡoʊ,mango.opus,2078,,,,,True,2
maso,meat,mˈiːt,meat.opus,2079,,,,,True,2
