czech,english,block_id,grammar_chunk_id,note_id
kus,piece,,,
chránit,protect,,,
závod,race,,,
od,since,,,
úsměv,smile,,,
lístek,ticket,,
dobře,well,,,
nehoda,accident,,,
krev,blood,,,
obchod,business,,,
během,during,,,
dokonce,even,,,
podlaha,floor,,,
obecný,general,,,
vybrat,choose,,,
informovat,inform,,,
schůzka,meeting,,,
objednat,order,,,
strana,party,,,
odpovědět,reply,,,
cestovat,travel,,,
virus,virus,,,
sledovat,watch,,,
jiný,another,,,
Mám rád?,Do I like?,17,,



Chodíš do školy?,Do you go to school?,17,,
Máš rád čaj? Ano, mám.","Do you like tea? Yes, I do.",17,
"Hraje fotbal? (on) Ano, hraje.","Does he play football? Yes, he does.",17,
"Čte knihy? (ona) Ano, čte.","Does she read books? Yes, she does.",17,
"Funguje to? Ano, funguje.","Does it work? Yes, it does.",17,
"My často vaříme doma? Ano, často vaříme.","Do we often cook at home? Yes, we do.",17,
"Vy rozumíte anglicky? Ano, rozumíme.","Do you understand English? Yes, we do.",17,
"Oni žijí tady? Ano, žijí.","Do they live here? Yes, they do.",17,
