czech,english,grammar_chunk_id,block_id
odpočívat,rest,,
nastavit,set,,
měl by,should,,
nahoru,up,,
věk,age,,
protože,because,,
kamera,camera,,
šaty,dress,,
zdarma,free,,
nemocný,ill,,
jako,like,,
pamatovat,remember,,
studium,study,,
také,also,,
třída,class,,
řídit,drive,,
velký,great,,
změna,change,,
setkat se,meet,,
potřebovat,need,,
hezký,pretty,,
docela,quite,,
skutečný,real,,
vzít,take,,
akce,action,,
sám,alone,,
snídaně,breakfast,,
pokračovat,continue,,
mrtvý,dead,,
užívat si,enjoy,,
plný,full,,
zahrada,garden,,
cena,price,,
výsledek,result,,
říct,tell,,
výhled,view,,
s,with,,
proti,against,,
autobus,bus,,
společnost,company,,
Kdo jsi?,Who are you?,7,9
Co je to?,What is it?,7,9
Kde to je?,Where is it?,7,9
Proč jsi smutný?,Why are you sad?,7,9
Jak se máš?,How are you?,7,9
Odkud jsi?,Where are you from?,7,9
Co je toto?,What's this?,7,9
Co je uvnitř?,What's inside?,7,9


