czech,english,block_id,grammar_chunk_id
radit,advise,,
interpunkce,punctuation,,
přijatelný,acceptable,,
přidání,addition,,
široký,wide,,
fyzikální,physical,,
fotografování,photography,,
fotograf,photographer,,
špatně,badly,,
záležitost,affair,,
hmotnost,weight,,
pochopit,understand,,
fotografie,photograph,,
sloveso,verb,,
nálada,mood,,
hrom,thunder,,
bouřka,thunderstorm,,
široce,widely,,
zvuk,audio,,
muzeum,museum,,
oznámení,notice,,
vytisknout,print,,
tiskárna,printer,,
těstoviny,pasta,,
Kdy budu pracovat?,When will I be working?,81,78
Kam budeš řídit?,Where will you be driving?,81,78
Kdy bude spát?,When will he be sleeping?,81,78
Co bude studovat?,What will she be studying?,81,78
Kdy bude pršet?,When will it be raining?,81,78
Kam budeme cestovat?,Where will we be travelling?,81,78
Na koho budete čekat?,Who will you be waiting for?,81,78
Co budou hrát?,What will they be playing?,81,78
Kdy budu zítra pracovat z domova?,When will I be working from home tomorrow?,,78
Kam budeš o víkendu řídit?,Where will you be driving at the weekend?,,78
Kdy bude on spát po dlouhé cestě?,When will he be sleeping after the long journey?,,78
Co bude ona studovat na univerzitě?,What will she be studying at university?,,78
Kdy bude během výletu pršet?,When will it be raining during the trip?,,78
Kam budeme příští léto cestovat?,Where will we be travelling next summer?,,78
Na koho budete čekat na nádraží?,Who will you be waiting for at the station?,,78
Co budou hrát po obědě?,What will they be playing after lunch?,,78
