czech,english,block_id,grammar_chunk_id,note_id
přístav,port,,,
datum,date,,,
pokoj,room,,,
kuchyně,kitchen,,,
koupelna,bathroom,,,
obývací pokoj,living room,,,
ložnice,bedroom,,,
tunel,tunnel,,,
tvář,face,,,
pokud,if,,,
místo,place,,,
cesta,road,,,
zastavit,stop,,,
chtít,want,,,
odpovědět,answer,,,
mezi,between,,,
z,of,,,
vědět,know,,,
vedle,next to,,,
tablet,tablet,,,
čepice,cap,,,
moci,can,,,
peníze,money,,,
platit,pay,,,
já jsem,I am,7,1,
ty jsi,you are,7,1,
on je,he is,7,1,
ona je,she is,7,1,
to je,it is,7,1,
my jsme,we are,7,1,
vy jste,you are,7,1,
oni jsou,they are,7,1,
já jsem (zk.),I'm,8,2,
ty jsi (zk.),you're,8,2,
on je (zk.),he's,8,2,
ona je (zk.),she's,8,2,
to je (zk.),it's,8,2,
my jsme (zk.),we're,8,2,
vy jste (zk.),you're,8,2,
oni jsou (zk.),they're,8,2,
Já jsem šťastný.,I'm happy.,,2,
Ty jsi smutný.,You're sad.,,2,
On je vysoký.,He's tall.,,2,
Ona je malá.,She's small.,,2,
Je to špatné.,It's bad.,,2,
My jsme bohatí.,We're rich.,,2,
Vy jste tlustí.,You're fat.,,2,
Oni jsou staří.,They're old.,,2,
