czech,english,grammar_id
manažer,manager,
truhla,chest,
šachy,chess,
symfonie,symphony,
způsob,manner,
kontrola,cheque,
lednička,refrigerator,
šéfkuchař,chef,
dětství,childhood,
jásot,cheer,
šek,check,
označit,mark,
stolní tenis,table tennis,
značka,mark,
povídání,chat,
graf,chart,
lžíce,spoon,
polévková lžíce,tablespoon,
oženit,marry,
ženatý,married,
tvář,cheek,
muž,male,
chilli,chilli,
symbol,symbol,
čistič,cleaner,
jídelna,cafeteria,
šílený,mad,
klasický,classic,
klasická hudba,classical music,
plavky,swimming costume,
plavky,swimsuit,
požadovat,claim,
holič,barber,
kouzlo,magic,
občan,citizen,
hlavní chod,main course,
hlavně,mainly,
kalendář,calendar,
hlavní,major,
grilování,barbecue,
Chystáš se vařit?,Are you going to cook?,41
Bude se učit? (on),Is he going to study?,41
Bude zpívat? (ona),Is she going to sing?,41
Půjdeme do kina?,Are we going to go to the cinema?,41
Budou cestovat?,Are they going to travel?,41
Bude pršet?,Is it going to rain?,41
Chystáš se číst?,Are you going to read?,41
Budou tvoji rodiče pracovat?,Are your parents going to work?,41
