czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
vrátit se,return,ɹᵻtˈɜːn,return.opus,16000,,,,,True,16
uložit,save,sˈeɪv,save.opus,16001,,,,,True,16
moře,sea,sˈiː,sea.opus,16002,,,,,True,16
spolu,together,təɡˈɛðɚ,together.opus,16003,,,,,True,16
armáda,army,ˈɑːɹmi,army.opus,16004,,,,,True,16
kryt,cover,kˈʌvɚ,cover.opus,16005,,,,,True,16
kultura,culture,kˈʌltʃɚ,culture.opus,16006,,,,,True,16
rozhodnutí,decision,dᵻsˈɪʒən,decision.opus,16007,,,,,True,16
příklad,example,ɛɡzˈæmpəl,example.opus,16008,,,,,True,16
cítit,feel,fˈiːl,feel.opus,16009,,,,,True,16
ostrov,island,ˈaɪlənd,island.opus,16010,,,,,True,16
člen,member,mˈɛmbɚ,member.opus,16011,,,,,True,16
další,next,nˈɛkst,next.opus,16012,,,,,True,16
pozice,position,pəzˈɪʃən,position.opus,16013,,,,,True,16
současný,present,pɹˈɛzənt,present.opus,16014,,,,,True,16
záznam,record,ɹˈɛkɚd,record.opus,16015,,,,,True,16
sladký,sweet,swˈiːt,sweet.opus,16016,,,,,True,16
zkusit,try,tɹˈaɪ,try.opus,16017,,,,,True,16
policie,police,pəlˈiːs,police.opus,16018,,,,,True,16
svět,world,wˈɜːld,world.opus,16019,,,,,True,16
chytit,catch,kˈætʃ,catch.opus,16020,,,,,True,16
roh,corner,kˈɔːɹnɚ,corner.opus,16021,,,,,True,16
vzdálenost,distance,dˈɪstəns,distance.opus,16022,,,,,True,16
vzdělání,education,ˌɛdʒuːkˈeɪʃən,education.opus,16023,,,,,True,16
třináct,thirteen,θˈɜːtiːn,thirteen.opus,16024,20,,,12,False,16
čtrnáct,fourteen,fˈɔːɹtiːn,fourteen.opus,16025,20,,,12,False,16
patnáct,fifteen,fˈɪftiːn,fifteen.opus,16026,20,,,12,False,16
šestnáct,sixteen,sˈɪkstiːn,sixteen.opus,16027,20,,,12,False,16
sedmnáct,seventeen,sˈɛvəntˌiːn,seventeen.opus,16028,20,,,12,False,16
osmnáct,eighteen,ˈeɪtiːn,eighteen.opus,16029,20,,,12,False,16
devatenáct,nineteen,nˈaɪntiːn,nineteen.opus,16030,20,,,12,False,16
dvacet,twenty,twˈɛnti,twenty.opus,16031,21,,,13,False,16
třicet,thirty,θˈɜːɾi,thirty.opus,16032,21,,,13,False,16
čtyřicet,forty,fˈɔːɹɾi,forty.opus,16033,21,,,13,False,16
padesát,fifty,fˈɪfti,fifty.opus,16034,21,,,13,False,16
dvacet jedna,twenty-one,twˈɛntiwˌʌn,twentyone.opus,16035,22,,,14,False,16
dvacet dva,twenty-two,twˈɛntitˈuː,twentytwo.opus,16036,22,,,14,False,16
sto patnáct,one hundred fifteen,wˈʌn hˈʌndɹɪd fˈɪftiːn,one_hundred_fifteen.opus,16037,22,,,14,False,16
sto dvacet pět,one hundred twenty-five,wˈʌn hˈʌndɹɪd twˈɛntifˈaɪv,one_hundred_twentyfive.opus,16038,22,,,14,False,16
první,first,fˈɜːst,first.opus,16039,23,,,15,False,16
druhý,second,sˈɛkənd,second.opus,16040,23,,,15,False,16
třetí,third,θˈɜːd,third.opus,16041,23,,,15,False,16
čtvrtý,fourth,fˈɔːɹθ,fourth.opus,16042,23,,,15,False,16
pátý,fifth,fˈɪfθ,fifth.opus,16043,23,,,15,False,16
polovina,half,hˈæf,half.opus,16044,24,,,16,False,16
třetina,third,θˈɜːd,third.opus,16045,24,,,16,False,16
čtvrtina,quarter,kwˈɔːɹɾɚ,quarter.opus,16046,24,,,16,False,16
pětina,fifth,fˈɪfθ,fifth.opus,16047,24,,,16,False,16
šestina,sixth,sˈɪksθ,sixth.opus,16048,24,,,16,False,16
dvě sedminy,two sevenths,tˈuː sˈɛvənθs,two_sevenths.opus,16049,24,,,16,False,16
tečka,point,pˈɔɪnt,point.opus,16050,25,,,17,False,16
dvě celé osm,two point eight,tˈuː pˈɔɪnt ˈeɪt,two_point_eight.opus,16051,25,,,17,False,16
osm celých pět,eight point five,ˈeɪt pˈɔɪnt fˈaɪv,eight_point_five.opus,16052,25,,,17,False,16
nula celá dva,point two,pˈɔɪnt tˈuː,point_two.opus,16053,25,,,17,False,16
