czech,english,block_id,grammar_chunk_id
klam,trick,,
skutečně,truly,,
vyhnout se,avoid,,
zprůměrovat,average,,
hlavní,principal,,
akt,act,,
napříč,across,,
problémy,trouble,,
pravda,truth,,
síť,net,,
zaparkovat,park,,
částečně,partly,,
královna,queen,,
cena,award,,
peněženka,wallet,,
bloudit,wander,,
přihrávka,pass,,
přejít,pass,,
průchod,passage,,
hrdost,pride,,
chůze,walking,,
návštěvník,visitor,,
naladit,tune,,
klidný,peaceful,,

Jsem zván na oslavu každý rok.,I'm invited to the party every year.,88,78
Jsi vybrán do týmu.,You're chosen for the team after the test.,88,78
V práci je respektován svými kolegy.,He's respected by his colleagues at work.,88,78
Ona je každý týden informována o změnách.,She's informed about the changes every week.,88,78
To se čistí každý den.,It's cleaned every day.,88,78
My jsme očekáváni na nádraží v poledne.,We're expected at the station at noon.,88,78
Vy jste placeni každý pátek.,You're paid every Friday.,88,78
Oni jsou kontrolováni u vchodu.,They're checked at the entrance.,88,78
