czech,english,grammar_id
probudit,wake,
číšník,waiter,
servírka,waitress,
hlasování,vote,
volejbal,volleyball,
návštívit,visit,
návštěva,visit,
video,video,
zeleniny,vegetable,
váza,vase,
dovolená,vacation,
nás,us,
vyřešit,solve,
pohovka,sofa,
sociální,social,
piknik,picnic,
vybrat,pick,
klavír,piano,
fotografie,photo,
mazlíček,pet,
období,period,
prase,pig,
platba,pay,
večírek,party,
partner,partner,
pardon,pardon,
odstavec,paragraph,
princ,prince,
princezna,princess,
pěkný,pretty,
současnost,present,
modlit se,pray,
trénovat,practise,
trénink,practice,
zveřejnit,post,
plakát,poster,
pizza,pizza,
bouchnout,pop,
znečištění,pollution,
bod,point,
Kde jsi byl?,Where were you?,30
Kdy byl doma? (on),When was he at home?,30
Proč byla smutná? (ona),Why was she sad?,30
Kdo byl ve škole?,Who was at school?,30
Jaké to bylo?,How was it?,30
Kde jsme byli?,Where were we?,30
Proč jste byli unavení?,Why were you tired?,30
Kdy byli v práci? (oni),When were they at work?,30
