czech,english,block_id,grammar_chunk_id
stolní tenis,table tennis,,
značka,mark,,
povídání,chat,,
graf,chart,,
lžíce,spoon,,
polévková lžíce,tablespoon,,
oženit,marry,,
ženatý,married,,
tvář,cheek,,
muž,male,,
chilli,chilli,,
symbol,symbol,,
čistič,cleaner,,
jídelna,cafeteria,,
šílený,mad,,
klasický,classic,,
klasická hudba,classical music,,
plavky,swimming costume,,
plavky,swimsuit,,
požadovat,claim,,
holič,barber,,
kouzlo,magic,,
občan,citizen,,
hlavní chod,main course,,

já zavolám,I'll call,60,50
ty přijdeš,you'll come,60,50
on pomůže,he'll help,60,50
ona začne,she'll start,60,50
ono spadne,it'll fall,60,50
my počkáme,we'll wait,60,50
vy vyhrajete,you'll win,60,50
oni dorazí,they'll arrive,60,50

Zavolám ti.,I'll call you.,,50
Přijdeš zítra.,You'll come tomorrow.,,50
On ti pomůže s taškami.,He'll help you with the bags.,,50
Ona začne schůzku v devět.,She'll start the meeting at nine.,,50
"Sklenice spadne, když do ní strčíš.",It'll fall if you push it.,,50
Počkáme na další autobus.,We'll wait for the next bus.,,50
Vy ten zápas vyhrajete.,You'll win the match.,,50
Dorazí před obědem.,They'll arrive before lunch.,,50
