czech,english,block_id,grammar_chunk_id
v pořádku,alright,,
zajímat,interest,,
břicho,belly,,
steak,steak,,
uvést,state,,
prohlášení,statement,,
odhalit,reveal,,
inteligence,intelligence,,
unie,union,,
shledání,reunion,,
napadnout,invade,,
dobře,alright,,
naplánovat,budget,,
vrátit,return,,
žárovka,bulb,,
nebezpečí,danger,,
inspirovat,inspire,,
inspirace,inspiration,,
žebrat,beg,,
sporák,stove,,
popis,description,,
prokletí,curse,,
narovnat,right,,
kari,curry,,

Jaký jsem byl?,What was I like?,55,45
Kde jsi byl?,Where were you?,55,45
Proč byl doma?,Why was he at home?,55,45
Jak se cítila?,How was she feeling?,55,45
Jaké to bylo?,What was it like?,55,45
Kde jsme byli?,Where were we?,55,45
Kdy jste byli volní?,When were you free?,55,45
Kde byli?,Where were they?,55,45
