czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
posvátný,sacred,sˈeɪkɹɪd,sacred.opus,119000,,,,,True,119
identita,identity,aɪdˈɛntᵻɾi,identity.opus,119001,,,,,True,119
průkaz totožnosti,identity card,aɪdˈɛntᵻɾi kˈɑːɹd,identity_card.opus,119002,,,,,True,119
idiom,idiom,ˈɪdɪəm,idiom.opus,119003,,,,,True,119
modla,idol,ˈaɪdəl,idol.opus,119004,,,,,True,119
pospíchat,rush,ɹˈʌʃ,rush.opus,119005,,,,,True,119
atrakce,attraction,ɐtɹˈækʃən,attraction.opus,119006,,,,,True,119
riziko,risk,ɹˈɪsk,risk.opus,119007,,,,,True,119
severovýchodní,northeastern,nˈɔːɹθiːstɚn,northeastern.opus,119008,,,,,True,119
okolí,neighbourhood,nˈeɪbɚhˌʊd,neighbourhood.opus,119009,,,,,True,119
jednání,negotiation,nᵻɡˌoʊʃɪˈeɪʃən,negotiation.opus,119010,,,,,True,119
žehlit,iron,ˈaɪɚn,iron.opus,119011,,,,,True,119
zachovat,retain,ɹᵻtˈeɪn,retain.opus,119012,,,,,True,119
žehlení,ironing,ˈaɪɚnɪŋ,ironing.opus,119013,,,,,True,119
nepravidelný,irregular,ɪɹˈɛɡjʊlɚ,irregular.opus,119014,,,,,True,119
maloobchodní,retail,ɹˈiːteɪl,retail.opus,119015,,,,,True,119
vyjednávat,negotiate,nᵻɡˈoʊʃɪˌeɪt,negotiate.opus,119016,,,,,True,119
vyplývat,result,ɹɪzˈʌlt,result.opus,119017,,,,,True,119
dráždit,irritate,ˈɪɹᵻtˌeɪt,irritate.opus,119018,,,,,True,119
omezit,restrict,ɹᵻstɹˈɪkt,restrict.opus,119019,,,,,True,119
víra,belief,bᵻlˈiːf,belief.opus,119020,,,,,True,119
obnovit,restore,ɹᵻstˈɔːɹ,restore.opus,119021,,,,,True,119
ostrůvek,isle,ˈaɪəl,isle.opus,119022,,,,,True,119
jehla,needle,nˈiːdəl,needle.opus,119023,,,,,True,119
izolovat,isolate,ˈaɪsəlˌeɪt,isolate.opus,119024,,,,,True,119
izolace,isolation,ˌaɪsəlˈeɪʃən,isolation.opus,119025,,,,,True,119
zapojit,involve,ɪnvˈɑːlv,involve.opus,119026,,,,,True,119
zapojený,involved,ɪnvˈɑːlvd,involved.opus,119027,,,,,True,119
přístup,approach,ɐpɹˈoʊtʃ,approach.opus,119028,,,,,True,119
převyprávět,retell,ɹᵻtˈɛl,retell.opus,119029,,,,,True,119
nicméně,nevertheless,nˌɛvɚðəlˈɛs,nevertheless.opus,119030,,,,,True,119
povědomí,awareness,ɐwˈɛɹnəs,awareness.opus,119031,,,,,True,119
neutrální,neutral,nˈuːtɹəl,neutral.opus,119032,,,,,True,119
síť,network,nˈɛtwɜːk,network.opus,119033,,,,,True,119
invaze,invasion,ɪnvˈeɪʒən,invasion.opus,119034,,,,,True,119
ohlížet se do minulosti,retrospect,ɹˈɛtɹəspˌɛkt,retrospect.opus,119035,,,,,True,119
nervozita,nervousness,nˈɜːvəsnəs,nervousness.opus,119036,,,,,True,119
investovat,invest,ɪnvˈɛst,invest.opus,119037,,,,,True,119
otazník,question mark,kwˈɛstʃən mˈɑːɹk,question_mark.opus,119038,,,,,True,119
vyšetřování,investigation,ɪnvˌɛstɪɡˈeɪʃən,investigation.opus,119039,,,,,True,119
dotazník,questionnaire,kwˌɛstʃənˈɛɹ,questionnaire.opus,119040,,,,,True,119
fronta,queue,kjˈuː,queue.opus,119041,,,,,True,119
pozvání,invitation,ɪnvɪtˈeɪʃən,invitation.opus,119042,,,,,True,119
vzniknout,arise,ɚɹˈaɪz,arise.opus,119043,,,,,True,119
nedobrovolně,involuntarily,ɪnvˌɑːləntˈɛɹᵻli,involuntarily.opus,119044,,,,,True,119
odpočinek,rest,ɹˈɛst,rest.opus,119045,,,,,True,119
běhání,jogging,dʒˈɑːɡɪŋ,jogging.opus,119046,,,,,True,119
nacionalista,nationalist,nˈæʃənəlˌɪst,nationalist.opus,119047,,,,,True,119
