czech,english,block_id,grammar_chunk_id,
zájem,interest,,,
část,part,,,
prezident,president,,,
kolo,round,,,
několik,several,,,
zvuk,sound,,,
příběh,story,,,
téměř,almost,,,
ovládat,control,,,
milý,dear,,,
šéf,chief,,,
pozvat,invite,,,
pozdní,late,,,
většina,most,,,
pouze,only,,,
produkt,product,,,
služba,service,,,
měl by,shall,,,
zůstat,stay,,,
manželka,wife,,,
daleko,away,,,
péče,care,,,
náklady,cost,,,
hluboký,deep,,,
deset hodin dopoledne,ten AM,26,18,
pět hodin odpoledne,five PM,26,18,
deset hodin,ten o'clock,26,18,
osm hodin 10 minut,eight ten,26,18,
třetího února,February 3rd,27,19,
dvacátého osmého března,March 28th,27,19,
prvního ledna 2026,January 1st 2026,27,19,
patnáctého března 1975,March 15th 1975,27,19,
