czech,english,block_id,grammar_chunk_id
Já mohu počkat.,I can wait.,,34
Umíš lyžovat?,Can you ski?,,34
On umí opravit kolo.,He can fix a bike.,,34
Ona umí zpívat?,Can she sing?,,34

Nemůže to být pravda.,It can't be true.,,34
Oni neumějí tančit.,They can't dance.,,34

Ty bys mohl zavolat později.,You could call later.,,34
Mohl by on zůstat déle?,Could he stay longer?,,34

On možná zůstane doma.,He may stay at home.,,34
Smí ona použít můj telefon?,May she use my phone?,,34
Možná bude pršet.,It may rain.,,34
Smíme otevřít okno?,May we open the window?,,34

Ona možná zapomene.,She might forget.,,34
Mohlo by to trvat déle?,Might it take longer?,,34

To musí být omyl.,It must be a mistake.,,34
Musíme to udělat dnes?,Must we do it today?,,34

Ty tady nesmíš parkovat.,You mustn't park here.,,34
Ona nesmí vstoupit.,She mustn't enter.,,34

Měl bych cestovat.,I should travel.,,34
Měl bys zavolat rodičům?,Should you call your parents?,,34
Nemělo by to trvat dlouho.,It shouldn't take long.,,34
Měli bychom počkat?,Should we wait?,,34

Ty bys počkal.,You would wait.,,34
Pomohl bys mi?,Would you help me?,,34
Já bych neutekl.,I wouldn't run away.,,34
Odešel bys?,Would you leave?,,34
