czech,english,grammar_id
poklop,hatch,
spokojený,satisfied,
vnější,outward,
bez domova,homeless,
srdceryvný,hearted,
učenec,scholar,
stipendium,scholarship,
infarkt,heart attack,
životopis,biography,
sluch,hearing,
příloha,attachment,
psanec,outlaw,
podšálek,saucer,
balení,packing,
atomový,atomic,
načrtnout,outline,
pokračovat,proceed,
biologie,biology,
neaktuální,out-of-date,
podporovat,promote,
podpora,promotion,
bezmocný,helpless,
čestně,honestly,
výrobce,producer,
poctivost,honesty,
prokrastinace,procrastination,
vlastnictví,property,
vydatný,hearty,
balík,package,
biochemie,biochemistry,
stejně,anyhow,
nebe,heaven,
nebesky,heavenly,
pata,heel,
výška,height,
venkovní,outdoor,
venku,outdoors,
tempo,pace,
HIV,HIV,
helma,helmet,
"Jsem zvyklý vstávat brzy.","I am used to getting up early.",71
"Ona je zvyklá řídit v noci.","She is used to driving at night.",71
"Jsme zvyklí na studené počasí.","We are used to cold weather.",71
"On není zvyklý mluvit anglicky.","He isn't used to speaking English.",71
"Začínám si zvykat na nové město.","I am getting used to the new city.",71
"Ona si zvyká na nové zaměstnání.","She is getting used to her new job.",71
"Děti si zvykají na školu.","The children are getting used to school.",71
"On si zvyká na brzké vstávání.","He is getting used to getting up early.",71
