id,name,note,sort_order,updated_at,deleted_at
1,Být,,1,2026-08-31 02:41:45.805965+00,
2,Být - zápor,,2,2026-08-31 02:41:55.477343+00,
3,Být - zjišťovací otázky,,3,2026-09-01 03:18:06.081107+00,
4,Být - tázací otázky,,4,2026-09-01 03:18:18.517933+00,
5,Množné číslo,,5,2026-09-01 03:18:28.599547+00,
6,Přivlastňování,,6,2026-09-01 03:19:26.666693+00,
7,Členy,,7,2026-09-02 04:55:41.073286+00,
8,Čísla,,8,2026-09-02 04:55:52.211219+00,
9,Časy a datumy,,9,2026-09-02 04:56:04.06537+00,
10,"Předložky času - in, on, at",,10,2026-09-02 04:56:17.473245+00,
11,"Předložky místa - in, on, at",,11,2026-09-02 04:56:30.237206+00,
12,PS - Přítomný čas prostý,"""Přitomný čas prostý"" se v angličtině nazývá ""Present Simple"" se zkratkou ""PS"".",12,2026-09-04 12:04:42.865991+00,
13,PS - zápor,,13,2026-09-04 12:05:12.735786+00,
14,PS - zjišťovací otázky,,14,2026-09-04 12:05:17.307836+00,
15,PS - tázací otázky,,15,2026-09-04 12:04:56.777796+00,
16,Stupňování přídavných jmen,Některá přídavná jména mají nepravidelné tvary stupňování. Taková budou vždy učena samostatně.,16,2026-09-04 12:55:23.647122+00,
17,Rozkazovací způsob,,17,2026-09-04 12:05:45.226441+00,
18,Modální slovesa,,18,2026-09-04 12:06:05.37651+00,
19,Návrhy,,19,2026-09-04 12:12:44.200704+00,
20,PC - Přítomný čas průběhový,"""Přítomný čas průběhový"" se v angličtině nazývá ""Present Continuous"" se zkratkou ""PC"".",20,2026-09-04 12:19:26.357685+00,
21,PC - zápor,,21,2026-09-04 12:13:05.302881+00,
22,PC - zjišťovací otázky,,22,2026-09-04 12:13:15.797868+00,
23,PC - tázací otázky,,23,2026-09-04 12:13:28.28807+00,
24,PaS - be - Minulý čas prostý,"""Minulý čas prostý"" se v angličtině označuje ""Past Simple"" se zkratkou ""PaS"".",24,2026-09-04 12:19:41.089597+00,
25,"PaS - be - zápor
",,25,2026-09-04 12:14:44.428004+00,
26,PaS - be - zjišťovací otázky,,26,2026-09-04 12:14:58.390492+00,
27,PaS - be - tázací otázky,,27,2026-09-04 12:15:12.186548+00,
28,PaS - Minulý čas prostý,,28,2026-09-04 12:15:43.235378+00,
29,PaS - zápor,,29,2026-09-04 12:15:54.390882+00,
30,PaS - zjišťovací otázky,,30,2026-09-04 12:16:08.423233+00,
31,PaS - tázací otázky,,31,2026-09-04 12:16:18.475949+00,
32,FS - will - Budoucí čas prostý,"""Budoucí čas prostý"" se v angličtině označuje ""Future Simple"" se zkratkou ""FS"".",32,2026-09-04 12:19:54.571637+00,
33,FS - will - zápor,,33,2026-09-04 12:16:51.624173+00,
34,FS - will - zišťovací otázky,,34,2026-09-04 12:17:05.576437+00,
35,FS - will - tázací otázky,,35,2026-09-04 12:17:19.673337+00,
36,"FS - going to ",,36,2026-09-04 12:17:37.750048+00,
37,FS - going to - zápor,,37,2026-09-04 12:17:49.755445+00,
38,FS - going to - zjišťovací otázky,,38,2026-09-04 12:18:05.201127+00,
39,FS - going to - tázací otázky,,39,2026-09-04 12:18:19.85741+00,
40,Nultá podmínka,"""Nultá podmínka"" se v angličtině nazývá ""Zero Conditional"".",40,2026-09-04 12:20:05.14791+00,
41,První podmínka,"""První podmínka"" se v angličtině nazývá ""First Conditional"".",41,2026-09-04 12:20:36.172564+00,
42,Druhá podmínka,"""Druhá podmínka"" se v angličtině nazývá ""Second Conditional"".
",42,2026-09-04 12:21:10.524375+00,
43,"PP - Předpřítomný čas prostý ","""Předpřítomný čas prostý"" se v angličtině nazývá ""Present Perfect"" se zkratkou ""PP"".",43,2026-09-04 12:21:52.407417+00,
44,PP - zápor,,44,2026-09-04 12:22:01.511333+00,
45,PP - zjišťovací otázky,,45,2026-09-04 12:22:17.577931+00,
46,PP - tázací otázky,,46,2026-09-04 12:22:40.673494+00,
47,PPC - Předpřítomný čas průběhový,"""Předpřítomný čas průběhový"" se v angličtině nazývá ""Present Perfect Continuous"" se zkratkou ""PPC"".",47,2026-09-04 12:23:21.396867+00,
48,PPC - zápor,,48,2026-09-04 12:23:36.653575+00,
49,PPC - zjišťovací otázky,,49,2026-09-04 12:24:09.177873+00,
50,PPC - tázací otázky,,50,2026-09-04 12:24:19.959613+00,
51,PaP - Předminulý čas,"""Předminulý čas"" se v angličtině nazývá ""Past Perfect"" se zkratkou ""PaP"".",51,2026-09-04 12:24:49.24451+00,
52,PaP - zápor,,52,2026-09-04 12:25:07.804763+00,
53,PaP - zjišťovací otázky,,53,2026-09-04 12:25:19.254148+00,
54,PaP - tázací otázky,,54,2026-09-04 12:25:33.272664+00,
55,FC - Budoucí čas průběhový,"""Budoucí čas průběhový"" se v angličtině nazývá ""Future Continuous"" se zkratkou ""FC"".
",55,2026-09-04 12:26:09.301505+00,
56,FC - zápor,,56,2026-09-04 12:26:18.932446+00,
57,FC - zjišťovací otázky,,57,2026-09-04 12:26:34.903832+00,
58,FC - tázací otázky,,58,2026-09-04 12:26:48.973268+00,
59,"Třetí podmínka ","""Třetí podmínka"" se v angličtině nazývá ""Third Conditional"".",59,2026-09-04 12:27:16.768886+00,
60,Trpný rod - přítomnost,,60,2026-09-04 12:27:32.26299+00,
61,Trpný rod - minulost,,61,2026-09-04 12:27:43.844007+00,
62,Trpný rod - předpřítomný čas,,62,2026-09-04 12:27:56.00627+00,
63,Trpný rod - budoucnost,,63,2026-09-04 12:28:08.067379+00,
64,Trpný rod - přítomný čas průběhový,,64,2026-09-04 12:28:29.649404+00,
65,Vztažné věty,,65,2026-09-04 12:28:39.899928+00,
66,Tázací dovětky,,66,2026-09-04 12:28:50.250149+00,
67,Nepřímá řeč,,67,2026-09-04 12:29:00.280578+00,
68,Used to,,68,2026-09-04 12:29:10.810618+00,
