czech,english,
spící,asleep
koupel,bath,
nedbalý,careless,
zpoždění,delay,
událost,event,
skrýt,hide,
řetěz,chain,
mezinárodní,international,
zápas,match,
nervózní,nervous,
lítost,pity,
dokázat,prove,
zvednout,raise,
padat,fall,
cítit,smell,
rovný,straight,
obchod,trade,
různorodost,variety,
přiznat,admit,
účastnit se,attend,
větev,branch,
uhlí,coal,
letět,fly,
sestávat,consist,
přesný,exact,
zemědělec,farmer,
místo toho,instead,
kov,metal,
opačný,opposite,
libra,pound,
rolovat,roll,
skóre,score,
střílet,shoot,
řeč,speech,
nosit (oblečení),wear,
čí,whose,
postoj,attitude,
odvážný,brave,
obsahovat,contain,
pochybovat,doubt,
byl jsem,I was,27
byl jsi,you were,27
byl,he was,27
byla,she was,27
bylo,it was,27
byli jsme,we were,27
byli jste,you were,27
byli,they were,27
Byl jsem doma.,I was at home.,27
Byl jsi unavený.,You were tired.,27
Byl šťastný.,He was happy.,27
Byla ve škole.,She was at school.,27
Bylo nové.,It was new.,27
Byli jsme připraveni.,We were ready.,27
Byli jste v parku.,You were in the park.,27
Byli v práci.,They were at work.,27
