czech,english,grammar_chunk_id,block_id
zkoumat,examine,,
růst,grow,,
okamžitě,immediately,,
nízký,low,,
mysl,mind,,
vypnout,off,,
projít,pass,,
rádio,radio,,
boty,shoe,,
jistý,sure,,
test,test,,
Nemám rád kávu.,I don't like coffee.,26,30
Nehraješ fotbal.,You don't play football.,26,30
Nejí maso. (on),He doesn't eat meat.,26,30
Nečte knihy. (ona),She doesn't read books.,26,30
Nefunguje to. (ono),It doesn't work.,26,30
Nedíváme se na televizi.,We don't watch TV.,26,30
Nemluvíte anglicky.,You don't speak English.,26,30
Nechodí do školy. (oni),They don't go to school.,26,30
