czech,english,pronunciation,audio,sort_order,block_id,note_id,topic_id,grammar_chunk_id,is_vocabulary,lesson_id
vzhled,appearance,ɐpˈɪɹəns,appearance.opus,54000,,,,,True,54
zklamáním,disappointing,dˌɪsɐpˈɔɪntɪŋ,disappointing.opus,54001,,,,,True,54
palec,inch,ˈɪntʃ,inch.opus,54002,,,,,True,54
dinosaurus,dinosaur,dˈaɪnəsˌɔːɹ,dinosaur.opus,54003,,,,,True,54
hnědnout,brown,bɹˈaʊn,brown.opus,54004,,,,,True,54
ačkoli,although,ɔːlðˈoʊ,although.opus,54005,,,,,True,54
zvýšení,increase,ˈɪŋkɹiːs,increase.opus,54006,,,,,True,54
čtverec,square,skwˈɛɹ,square.opus,54007,,,,,True,54
digitální fotoaparát,digital camera,dˈɪdʒɪɾəl kˈæmɹə,digital_camera.opus,54008,,,,,True,54
romantika,romance,ɹoʊmˈæns,romance.opus,54009,,,,,True,54
romantický,romantic,ɹoʊmˈæntɪk,romantic.opus,54010,,,,,True,54
hrůza,horror,hˈɔɹɚ,horror.opus,54011,,,,,True,54
běžec,runner,ɹˈʌnɚ,runner.opus,54012,,,,,True,54
rozlít,spill,spˈɪl,spill.opus,54013,,,,,True,54
představivost,imagination,ɪmˌædʒᵻnˈeɪʃən,imagination.opus,54014,,,,,True,54
pověst,rumour,ɹˈuːmɚ,rumour.opus,54015,,,,,True,54
displej,display,dɪsplˈeɪ,display.opus,54016,,,,,True,54
šplouchat,splash,splˈæʃ,splash.opus,54017,,,,,True,54
podíl,split,splˈɪt,split.opus,54018,,,,,True,54
zřejmě,apparently,ɐpˈæɹəntli,apparently.opus,54019,,,,,True,54
dopad,impact,ˈɪmpækt,impact.opus,54020,,,,,True,54
nechuť,dislike,dɪslˈaɪk,dislike.opus,54021,,,,,True,54
trpělivý,patient,pˈeɪʃənt,patient.opus,54022,,,,,True,54
netrpělivý,impatient,ɪmpˈeɪʃənt,impatient.opus,54023,,,,,True,54
Já poslední dobou moc nespím.,I haven't been sleeping much lately.,aɪ hˈævənt bˌɪn slˈiːpɪŋ mˈʌtʃ lˈeɪtli,i_havent_been_sleeping_much_lately.opus,54024,76,,,66,False,54
Ty poslední dobou moc nečteš.,You haven't been reading much lately.,juː hˈævənt bˌɪn ɹˈiːdɪŋ mˈʌtʃ lˈeɪtli,you_havent_been_reading_much_lately.opus,54025,76,,,66,False,54
On tam zatím nečeká dlouho.,He hasn't been waiting there long yet.,hiː hˈæzənt bˌɪn wˈeɪɾɪŋ ðɛɹ lˈɔŋ jˈɛt,he_hasnt_been_waiting_there_long_yet.opus,54026,76,,,66,False,54
Ona už nějakou dobu neběhá.,She hasn't been running for a while.,ʃiː hˈæzənt bˌɪn ɹˈʌnɪŋ fɚɹə wˈaɪl,she_hasnt_been_running_for_a_while.opus,54027,76,,,66,False,54
Už několik dní neprší.,It hasn't been raining for several days.,ɪt hˈæzənt bˌɪn ɹˈeɪnɪŋ fɔːɹ sˈɛvɹəl dˈeɪz,it_hasnt_been_raining_for_several_days.opus,54028,76,,,66,False,54
My se tento týden moc neučíme.,We haven't been studying much this week.,wiː hˈævənt bˌɪn stˈʌdiɪŋ mˈʌtʃ ðɪs wˈiːk,we_havent_been_studying_much_this_week.opus,54029,76,,,66,False,54
Vy letos moc necestujete.,You haven't been travelling much this year.,juː hˈævənt bˌɪn tɹˈævəlɪŋ mˈʌtʃ ðɪs jˈɪɹ,you_havent_been_travelling_much_this_year.opus,54030,76,,,66,False,54
Oni spolu poslední dobou nehrají.,They haven't been playing together lately.,ðeɪ hˈævənt bˌɪn plˈeɪɪŋ təɡˌɛðɚ lˈeɪtli,they_havent_been_playing_together_lately.opus,54031,76,,,66,False,54
