czech,english,block_id,grammar_chunk_id
výstavce,drawer,,
stejně,anyway,,
zdroj,source,,
ochutnat,sample,,
kromě,besides,,
však,however,,
kdekoli,anywhere,,
v centru města,downtown,,
dole,downstairs,,
obejmout,hug,,
stáhnout,download,,
lidský,human,,
remíza,draw,,
ilegální,illegal,,
běh,running,,
zklamaný,disappointed,,
zmizet,disappear,,
nesouhlasit,disagree,,
nevýhoda,disadvantage,,
pás,belt,,
lano,rope,,
šíření,spread,,
vykořenit,root,,
ředitel,director,,
já pracuji už dvě hodiny,I've been working for two hours,70,67
ty čteš od rána,you've been reading since morning,70,67
on čeká celý den,he's been waiting all day,70,67
ona běhá každé ráno,she's been running every morning,70,67
ono prší od včerejška,it's been raining since yesterday,70,67
my se učíme celý večer,we've been studying all evening,70,67
vy cestujete celý týden,you've been travelling all week,70,67
oni hrají od oběda,they've been playing since lunch,70,67
Už dvě hodiny pracuji na tomto projektu.,I've been working on this project for two hours.,,67
Od rána čteš tu stejnou knihu.,You've been reading the same book since morning.,,67
On celý den čeká na odpověď.,He's been waiting for an answer all day.,,67
Ona každé ráno běhá v parku.,She's been running in the park every morning.,,67
Od včerejška nepřestalo pršet.,It's been raining since yesterday.,,67
Celý večer se učíme na zkoušku.,We've been studying for the exam all evening.,,67
Tento týden cestujete po Evropě.,You've been travelling around Europe this week.,,67
Od oběda hrají videohry.,They've been playing video games since lunch.,,67
