czech,english,block_id,grammar_chunk_id
slunečnice,sunflower,,
sluneční brýle,sunglasses,,
levá ruka,left-hand,,
opravdu,indeed,,
obtížnost,difficulty,,
gram,gramme,,
blondýnka,blonde,,
rozzlobeně,angrily,,
vnouče,grandchild,,
dědeček,granddad,,
velmi,extremely,,
obývací pokoj,sitting room,,
navíc,extra,,
zdát,seem,,
anděl,angel,,
babička,granny,,
starověké,ancient,,
brusle,skate,,
výraz,expression,,
hledat,seek,,
rychlík,express,,
semínko,seed,,
skateboarding,skateboarding,,
prozkoumat,explore,,
já nebudu volat,I'm not going to call,60,57
ty nebudeš vařit,you aren't going to cook,60,57
on nezačne,he isn't going to start,60,57
ona neodjede,she isn't going to leave,60,57
ono nespadne,it isn't going to fall,60,57
my nezůstaneme,we aren't going to stay,60,57
vy nevyhrajete,you aren't going to win,60,57
oni nepřijedou,they aren't going to arrive,60,57
Dnes mu nebudu volat.,I'm not going to call him today.,,57
Nebudeš vařit doma.,You aren't going to cook at home.,,57
On nezačne bez nás.,He isn't going to start without us.,,57
Ona tento měsíc neodjede.,She isn't going to leave this month.,,57
Ta větev nespadne na auto.,It isn't going to fall on the car.,,57
Nezůstaneme přes noc.,We're not going to stay overnight.,,57
Dnes nevyhrajete bez tréninku.,You aren't going to win without training today.,,57
Nepřijedou před večerem.,They aren't going to arrive before evening.,,57
