czech,english,grammar_id,
klid,quiet,
rychle,quickly,
zpochybňovat,question,
čtvrtletí,quarter,
čtení,reading,
vydatný,rich,
jízda,ride,
jezdit,ride,
vědec,scientist,
pila,saw,
sendvič,sandwich,
prodej,sale,
salát,salad,
plachta,sail,
námořník,sailor,
pravítko,ruler,
hrubý,rude,
řádek,row,
úloha,role,
správný,right,
právo,right,
tlačit,push,
víčko,cap,
album,album,
stát za něčím,behind,
základna,base,
baseball,baseball,
jasný,bright,
rozzlobený,angry,
zástěra,apron,
blok,block,
nic,anything,
košík,basket,
basketball,basketball,
netopýr,bat,
podnikání,business,
přítel,boyfriend,
narození,birth,
obě,both,
zlomit,break,
Proč přišla pozdě?,Why did she come late?,34,
Kdo ti zavolal?,Who called you?,34,
Kdy začal film?,When did the movie start?,34,
Co jste jedli k večeři?,What did you eat for dinner?,34,
Jak ses dostal domů?,How did you get home?,34,
